source,canonical_team,kbstats_name,displayed_name,created_at
kickbase,schalke,Timo Becker,T. BECKER,2026-08-19T13:29:03+02:00
kickbase,bremen,Paul Erevbenagie,Erebenagie,2026-08-19T13:29:07+02:00
kickbase,leipzig,Maarten Vandevoordt,VANDEVOORT,2026-08-19T13:29:30+02:00
kickbase,schalke,Vitalie Becker,V. BECKER,2026-08-25T12:10:49+02:00
kicker,elversberg,Lasse Günther,La. Günther,2026-08-27T12:34:26+02:00
kicker,dortmund,Joey Veerman,J. Veerman,2026-08-27T12:34:28+02:00
kicker,union,Rani Khedira,R. Khedira,2026-08-27T12:34:31+02:00
kicker,mainz,Kaishu Sano,Kai. Sano,2026-08-27T12:34:33+02:00
kicker,koeln,Said El Mala,S. El Mala,2026-08-27T12:34:35+02:00
kicker,dortmund,Felix Nmecha,F. Nmecha,2026-08-27T12:34:41+02:00
kicker,freiburg,Yuito Suzuki,Y. Suzuki,2026-08-27T12:34:44+02:00
kicker,hoffenheim,Mats Rots,M. Rots,2026-08-27T12:34:46+02:00
kicker,leverkusen,Ezequiél Fernández,E. Fernandez,2026-08-27T12:34:57+02:00
kicker,frankfurt,Oscar Højlund,O. Höjlund,2026-08-27T12:34:59+02:00
kicker,leipzig,Ridle  Baku,R. Baku,2026-08-27T12:35:05+02:00
kicker,frankfurt,Robin Koch,R. Koch,2026-08-27T12:35:09+02:00
kicker,freiburg,Maximilian Eggestein,M. Eggestein,2026-08-27T12:35:22+02:00
kicker,paderborn,Albert Frank Millgramm,A. Millgramm,2026-08-27T12:35:25+02:00
kicker,mainz,Jae-Sung Lee,J.-S. Lee,2026-08-27T12:35:29+02:00
kicker,mainz,Phillip Tietz,P. Tietz,2026-08-27T12:35:41+02:00
kicker,schalke,Timo Becker,T. Becker,2026-08-28T13:05:02+02:00
kickbase,schalke,Éric Dina Ebimbe,Ebimbe,2026-08-28T13:07:18+02:00
kickbase,stuttgart,Josha Vagnoman,VAGNONAM,2026-08-28T13:08:21+02:00
kickbase,union,Livan Burcu,BUCU,2026-08-28T13:08:23+02:00
kicker,elversberg,Lukas Emanuel Petkov,L. Petkov,2026-08-28T13:08:45+02:00
kicker,hamburg,Albert Grønbæk,Grönbaek,2026-08-28T13:10:01+02:00
kicker,augsburg,Marius Wolf,M. Wolf,2026-09-03T15:09:34+02:00
kicker,bayern,Hiroki Ito,H. Ito,2026-09-03T15:10:45+02:00
