provider,canonical_team,kbstats_name,provider_player_id,provider_player_name,created_at
transfermarkt,,Dayotchanculle Upamecano,344695,Dayot Upamecano,2026-08-18T11:45:59+02:00
transfermarkt,,Lukas Emanuel Petkov,401639,Lukas Petkov,2026-08-18T11:46:02+02:00
transfermarkt,,Ezequiél Fernández,664708,Equi Fernández,2026-08-18T11:46:05+02:00
transfermarkt,,Ayoube Amaimouni,799993,Ayoube Amaimouni-Echghouyab,2026-08-18T11:46:09+02:00
transfermarkt,,Philipp Mwene,127573,Phillipp Mwene,2026-08-18T11:46:12+02:00
transfermarkt,,Silvan Dominic Widmer,168989,Silvan Widmer,2026-08-18T11:46:13+02:00
transfermarkt,,Albert Frank Millgramm,814986,Albert Millgramm,2026-08-18T11:46:16+02:00
transfermarkt,,Örjan Nyland,73517,Ørjan Nyland,2026-08-18T11:46:20+02:00
transfermarkt,,Joseph Scally,504153,Joe Scally,2026-08-18T11:46:22+02:00
transfermarkt,,Yukhym Konoplia,467250,Yukhym Konoplya,2026-08-18T11:46:24+02:00
transfermarkt,,Albert Grønbæk,503866,Albert Grønbaek,2026-08-18T11:46:27+02:00
transfermarkt,,Jan-Niklas Beste,342967,Niklas Beste,2026-08-18T11:46:29+02:00
transfermarkt,,Eren Sami Dinkçi,645774,Eren Dinkçi,2026-08-18T11:46:31+02:00
transfermarkt,,Berkay Yilmaz,907087,Berkay Yılmaz,2026-08-18T11:46:35+02:00
transfermarkt,,Abdoul-Karim Coulibaly,1084638,Karim Coulibaly,2026-08-18T11:46:37+02:00
transfermarkt,,Salim Amani Musah,1042472,Salim Musah,2026-08-18T11:46:39+02:00
transfermarkt,,Johannes Simon Siebeking,1047294,Johannes Siebeking,2026-08-18T11:46:43+02:00
transfermarkt,,Éric Dina Ebimbe,536482,Junior Dina Ebimbe,2026-08-18T11:51:50+02:00
transfermarkt,,Kim Minjae,503482,Min-jae Kim,2026-08-18T11:53:49+02:00
transfermarkt,,Lukeba Castello Jr.,618472,Castello Lukeba,2026-08-18T11:54:21+02:00
sofascore,,Dayotchanculle Upamecano,798583,Dayot Upamecano,2026-08-18T11:11:44+02:00
sofascore,,Jan Thielmann,1010726,Jan Uwe Thielmann,2026-08-18T11:12:03+02:00
sofascore,,Ísak Jóhannesson,1112327,Ísak Bergmann Jóhannesson,2026-08-18T11:12:07+02:00
sofascore,,Ayoube Amaimouni,1898148,Ayoube Amaimouni Echghouyab,2026-08-18T11:12:09+02:00
sofascore,,Philipp Mwene,138126,Phillipp Mwene,2026-08-18T11:12:15+02:00
sofascore,,Silvan Dominic Widmer,157377,Silvan Widmer,2026-08-18T11:12:17+02:00
sofascore,,Ransford Königsdörffer,1012235,Ransford Yeboah Königsdörffer,2026-08-18T11:12:18+02:00
sofascore,,Tjark Scheller,1137717,Tjark Lasse Scheller,2026-08-18T11:12:21+02:00
sofascore,,Joseph Scally,1002920,Joe Scally,2026-08-18T11:12:27+02:00
sofascore,,Daniel Heuer Fernandes,113442,Daniel Fernandes,2026-08-18T11:12:50+02:00
sofascore,,Yannik Engelhardt,990209,Yannick Engelhardt,2026-08-18T11:12:53+02:00
sofascore,,Abdoul-Karim Coulibaly,1797852,Karim Coulibaly,2026-08-18T11:13:02+02:00
sofascore,,Salim Amani Musah,1864786,Salim Musah,2026-08-18T11:13:31+02:00
sofascore,,Victor Boniface,978521,Victor Okoh Boniface,2026-08-18T12:59:07+02:00
sofascore,,Max Rosenfelder,1131337,Maximilian Rosenfelder,2026-08-18T12:59:17+02:00
sofascore,,Berkay Yilmaz,1195724,Berkay Yılmaz,2026-08-18T12:59:19+02:00
sofascore,,Lukeba Castello Jr.,976421,Castello Lukeba,2026-08-18T19:50:00+02:00
sofascore,,Frederik Rönnow,137692,Frederik Rønnow,2026-08-18T23:06:02+02:00
sofascore,,Lukasz Poreba,942336,Łukasz Poręba,2026-08-23T00:53:03+02:00
sofascore,,Florian Le Joncour,787816,Florian Yves Le Joncour,2026-08-23T00:53:06+02:00
sofascore,,Lukas Emanuel Petkov,960017,Lukas Petkov,2026-08-23T18:00:56+02:00
sofascore,,Albert Frank Millgramm,2122582,Albert Millgramm,2026-08-23T20:56:09+02:00
sofascore,,Éric Dina Ebimbe,904994,Eric Ebimbe,2026-08-25T12:10:25+02:00
sofascore,,Tom Rothe,1210666,Tom Alexander Rothe,2026-08-25T12:11:32+02:00
ligainsider,bayern,Kim Minjae,27022,Minjae Kim,2026-08-18T19:37:20+02:00
ligainsider,leverkusen,Ezequiél Fernández,38674,Equi Fernandez,2026-08-18T19:45:31+02:00
ligainsider,frankfurt,Oscar Højlund,37210,Oscar Hoejlund,2026-08-18T19:47:54+02:00
ligainsider,leipzig,Lukeba Castello Jr.,27079,Castello Lukeba,2026-08-18T19:50:05+02:00
ligainsider,freiburg,Christian Günter,2153,Christian Guenter,2026-08-18T19:51:57+02:00
ligainsider,freiburg,Jan-Niklas Beste,14520,Niklas Beste,2026-08-18T19:52:08+02:00
ligainsider,stuttgart,Maximilian Mittelstädt,6206,Maximilian Mittelstaedt,2026-08-18T21:17:14+02:00
ligainsider,union,András Schäfer,27369,Andras Schaefer,2026-08-18T21:17:17+02:00
ligainsider,stuttgart,Grischa Prömel,5816,Grischa Proemel,2026-08-18T21:17:19+02:00
ligainsider,koeln,Marvin Schwäbe,2626,Marvin Schwaebe,2026-08-18T21:17:22+02:00
ligainsider,stuttgart,Chris Führich,18542,Chris Fuehrich,2026-08-18T21:17:24+02:00
ligainsider,elversberg,Lasse Günther,26087,Lasse Guenther,2026-08-18T21:17:28+02:00
ligainsider,koeln,Marius Bülter,19202,Marius Buelter,2026-08-18T21:17:30+02:00
ligainsider,union,Derrick Köhn,14385,Derrick Koehn,2026-08-18T21:17:36+02:00
ligainsider,gladbach,Kevin Stöger,692,Kevin Stoeger,2026-08-18T21:17:38+02:00
ligainsider,paderborn,Ruben Müller,37563,Ruben Mueller,2026-08-18T21:17:40+02:00
ligainsider,paderborn,Felix Götze,10508,Felix Goetze,2026-08-18T21:17:42+02:00
ligainsider,bremen,Marco Grüll,26702,Marco Gruell,2026-08-18T21:17:44+02:00
rotowire,hamburg,Albert Grønbæk,37790,Albert Gronbaek,2026-08-18T21:17:46+02:00
ligainsider,hamburg,Albert Grønbæk,35437,Albert Groenbaek,2026-08-18T21:17:48+02:00
rotowire,frankfurt,Noël Aséko,40897,Noel Aseko-Nkili,2026-08-18T21:17:55+02:00
rotowire,bremen,Karl Hein,35197,Karl Jakob Hein,2026-08-18T21:18:01+02:00
ligainsider,elversberg,Lukas Emanuel Petkov,20088,Lukas Petkov,2026-08-18T21:18:03+02:00
rotowire,elversberg,Lukas Emanuel Petkov,34182,Lukas Petkov,2026-08-18T21:18:06+02:00
ligainsider,bayern,Dayotchanculle Upamecano,11541,Dayot Upamecano,2026-08-18T21:18:10+02:00
rotowire,bayern,Dayotchanculle Upamecano,23324,Dayot Upamecano,2026-08-18T21:18:12+02:00
ligainsider,mainz,Philipp Mwene,2723,Phillipp Mwene,2026-08-18T23:06:04+02:00
rotowire,mainz,Philipp Mwene,26099,Phillipp Mwene,2026-08-18T23:06:08+02:00
