id,teamId,firstName,lastName,marketValue,averagePoints,games,gamesPlayed,start11,totalPlaytimeS,totalPoints,status,position,playerImage,number,trend,pointsPerValue,pointsStdDev,history,name,marketChangeToday,last5Points,last5PlayedSlots,last5AveragePoints
8329,2,Michael,Olise,64381340.0,225.0,32.0,32.0,23.0,154488.0,7185.0,0,3,https://kickbase.b-cdn.net/pool/playersbig/8329.png,17.0,1,111.0,,"[{""hasPlayed"": true, ""points"": 81}, {""hasPlayed"": true, ""points"": 334}, {""hasPlayed"": true, ""points"": 290}, {""hasPlayed"": true, ""points"": 166}, {""hasPlayed"": true, ""points"": 152}]",Michael Olise,37785.0,"[81.0, 334.0, 290.0, 166.0, 152.0]",5,204.6
1685,2,Joshua,Kimmich,59503193.0,186.0,29.0,29.0,24.0,151968.0,5391.0,0,3,https://kickbase.b-cdn.net/pool/playersbig/1685.png,6.0,1,90.0,,"[{""hasPlayed"": true, ""points"": 317}, {""hasPlayed"": true, ""points"": 238}, {""hasPlayed"": true, ""points"": 83}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 215}]",Joshua Kimmich,31936.0,"[317.0, 238.0, 83.0, 0.0, 215.0]",4,170.6
1639,18,Nadiem,Amiri,32223555.0,134.0,26.0,26.0,24.0,136794.0,3493.0,0,3,https://kickbase.b-cdn.net/pool/playersbig/1639.png,10.0,1,108.0,,"[{""hasPlayed"": true, ""points"": 254}, {""hasPlayed"": true, ""points"": 98}, {""hasPlayed"": true, ""points"": 168}, {""hasPlayed"": true, ""points"": 93}, {""hasPlayed"": true, ""points"": 229}]",Nadiem Amiri,108443.0,"[254.0, 98.0, 168.0, 93.0, 229.0]",5,168.4
4199,7,Aleix,García,37428950.0,142.0,33.0,33.0,31.0,175200.0,4684.0,0,3,https://kickbase.b-cdn.net/pool/playersbig/4199.png,24.0,1,125.0,,"[{""hasPlayed"": true, ""points"": 229}, {""hasPlayed"": true, ""points"": 121}, {""hasPlayed"": true, ""points"": 214}, {""hasPlayed"": true, ""points"": 93}, {""hasPlayed"": true, ""points"": 181}]",Aleix García,114427.0,"[229.0, 121.0, 214.0, 93.0, 181.0]",5,167.6
7226,2,Harry,Kane,68483403.0,216.0,31.0,31.0,25.0,158399.0,6703.0,0,4,https://kickbase.b-cdn.net/pool/playersbig/7226.png,9.0,1,97.0,,"[{""hasPlayed"": true, ""points"": 415}, {""hasPlayed"": true, ""points"": 53}, {""hasPlayed"": true, ""points"": 45}, {""hasPlayed"": true, ""points"": 150}, {""hasPlayed"": true, ""points"": 163}]",Harry Kane,35687.0,"[415.0, 53.0, 45.0, 150.0, 163.0]",5,165.2
2746,7,Patrik,Schick,29026293.0,103.0,28.0,28.0,23.0,130835.0,2889.0,0,4,https://kickbase.b-cdn.net/pool/playersbig/2746.png,14.0,1,99.0,,"[{""hasPlayed"": true, ""points"": 42}, {""hasPlayed"": true, ""points"": 23}, {""hasPlayed"": true, ""points"": 367}, {""hasPlayed"": true, ""points"": 227}, {""hasPlayed"": true, ""points"": 161}]",Patrik Schick,56372.0,"[42.0, 23.0, 367.0, 227.0, 161.0]",5,164.0
1815,14,Andrej,Kramarić,23347024.0,111.0,34.0,34.0,26.0,143136.0,3757.0,4,3,https://kickbase.b-cdn.net/pool/playersbig/1815.png,27.0,2,160.0,,"[{""hasPlayed"": true, ""points"": 4}, {""hasPlayed"": true, ""points"": 180}, {""hasPlayed"": true, ""points"": 245}, {""hasPlayed"": true, ""points"": 62}, {""hasPlayed"": true, ""points"": 239}]",Andrej Kramarić,-434143.0,"[4.0, 180.0, 245.0, 62.0, 239.0]",5,146.0
9683,40,Andrej,Ilic,9377483.0,69.0,32.0,32.0,24.0,151642.0,2204.0,2,4,https://kickbase.b-cdn.net/pool/playersbig/9683.png,23.0,1,235.0,,"[{""hasPlayed"": true, ""points"": 271}, {""hasPlayed"": true, ""points"": 255}, {""hasPlayed"": true, ""points"": 35}, {""hasPlayed"": true, ""points"": 24}, {""hasPlayed"": true, ""points"": 115}]",Andrej Ilic,135816.0,"[271.0, 255.0, 35.0, 24.0, 115.0]",5,140.0
3183,13,Anton,Kade,10337845.0,64.0,28.0,28.0,18.0,114106.0,1783.0,0,4,https://kickbase.b-cdn.net/pool/playersbig/3183.png,30.0,1,172.0,,"[{""hasPlayed"": true, ""points"": 53}, {""hasPlayed"": true, ""points"": 108}, {""hasPlayed"": true, ""points"": 306}, {""hasPlayed"": true, ""points"": 147}, {""hasPlayed"": true, ""points"": 72}]",Anton Kade,177189.0,"[53.0, 108.0, 306.0, 147.0, 72.0]",5,137.2
2383,3,Nico,Schlotterbeck,33650065.0,148.0,28.0,28.0,28.0,166561.0,4142.0,1,2,https://kickbase.b-cdn.net/pool/playersbig/2383.png,4.0,2,123.0,,"[{""hasPlayed"": true, ""points"": 142}, {""hasPlayed"": true, ""points"": 250}, {""hasPlayed"": true, ""points"": 72}, {""hasPlayed"": true, ""points"": 146}, {""hasPlayed"": true, ""points"": 67}]",Nico Schlotterbeck,-655674.0,"[142.0, 250.0, 72.0, 146.0, 67.0]",5,135.4
