team,team_id,season_id,shirt_number,player_name,player_id,position,age,nationalities,contract_until,market_value,market_value_eur,player_url,market_value_percentile_within_team
1. FC Köln,3,2026,13.0,Said El Mala,1168219,Left Winger,19,Germany,30/06/2030,€45.00m,45000000.0,https://www.transfermarkt.com/said-el-mala/profil/spieler/1168219,100.0
1. FC Köln,3,2026,22.0,Jahmai Simpson-Pusey,942497,Centre-Back,20,England,30/06/2030,€9.00m,9000000.0,https://www.transfermarkt.com/jahmai-simpson-pusey/profil/spieler/942497,92.31
1. FC Köln,3,2026,9.0,Ragnar Ache,416380,Centre-Forward,28,Germany|Ghana,30/06/2029,€9.00m,9000000.0,https://www.transfermarkt.com/ragnar-ache/profil/spieler/416380,92.31
1. FC Köln,3,2026,27.0,Thijs Dallinga,538964,Centre-Forward,26,Netherlands,30/06/2027,€9.00m,9000000.0,https://www.transfermarkt.com/thijs-dallinga/profil/spieler/538964,92.31
1. FC Köln,3,2026,8.0,Ísak Jóhannesson,579565,Central Midfield,23,Iceland|England,30/06/2030,€8.00m,8000000.0,https://www.transfermarkt.com/isak-johannesson/profil/spieler/579565,84.62
1. FC Köln,3,2026,33.0,Rav van den Berg,640556,Centre-Back,22,Netherlands,30/06/2030,€7.00m,7000000.0,https://www.transfermarkt.com/rav-van-den-berg/profil/spieler/640556,80.77
1. FC Köln,3,2026,28.0,Sebastian Sebulonsen,592387,Right-Back,26,Norway,30/06/2028,€5.50m,5500000.0,https://www.transfermarkt.com/sebastian-sebulonsen/profil/spieler/592387,76.92
1. FC Köln,3,2026,29.0,Jan Thielmann,472249,Right Winger,24,Germany,30/06/2028,€5.00m,5000000.0,https://www.transfermarkt.com/jan-thielmann/profil/spieler/472249,73.08
1. FC Köln,3,2026,5.0,Tom Krauß,405687,Defensive Midfield,25,Germany,30/06/2029,€4.50m,4500000.0,https://www.transfermarkt.com/tom-krauss/profil/spieler/405687,69.23
1. FC Köln,3,2026,14.0,Gideon Mensah,397171,Left-Back,28,Ghana,30/06/2028,€4.00m,4000000.0,https://www.transfermarkt.com/gideon-mensah/profil/spieler/397171,65.38
1. FC Köln,3,2026,2.0,Joël Schmied,322517,Centre-Back,27,Switzerland,30/06/2029,€3.00m,3000000.0,https://www.transfermarkt.com/joel-schmied/profil/spieler/322517,57.69
1. FC Köln,3,2026,37.0,Linton Maina,335103,Left Winger,27,Germany|Kenya,,€3.00m,3000000.0,https://www.transfermarkt.com/linton-maina/profil/spieler/335103,57.69
1. FC Köln,3,2026,1.0,Marvin Schwäbe,160929,Goalkeeper,31,Germany,30/06/2027,€3.00m,3000000.0,https://www.transfermarkt.com/marvin-schwabe/profil/spieler/160929,57.69
1. FC Köln,3,2026,17.0,Alessio Castro-Montes,340166,Right-Back,29,Belgium|Spain,30/06/2028,€2.50m,2500000.0,https://www.transfermarkt.com/alessio-castro-montes/profil/spieler/340166,46.15
1. FC Köln,3,2026,3.0,Julian Pauli,744558,Centre-Back,21,Germany|England,30/06/2028,€2.50m,2500000.0,https://www.transfermarkt.com/julian-pauli/profil/spieler/744558,46.15
1. FC Köln,3,2026,24.0,Luka Lochoshvili,345189,Centre-Back,28,Georgia,30/06/2029,€2.50m,2500000.0,https://www.transfermarkt.com/luka-lochoshvili/profil/spieler/345189,46.15
1. FC Köln,3,2026,7.0,Luca Waldschmidt,196095,Centre-Forward,30,Germany,30/06/2027,€2.00m,2000000.0,https://www.transfermarkt.com/luca-waldschmidt/profil/spieler/196095,36.54
1. FC Köln,3,2026,38.0,Youssoupha Niang,944331,Right Winger,20,Germany|Senegal,30/06/2027,€2.00m,2000000.0,https://www.transfermarkt.com/youssoupha-niang/profil/spieler/944331,36.54
1. FC Köln,3,2026,30.0,Marius Bülter,116088,Left Winger,33,Germany,30/06/2027,€1.80m,1800000.0,https://www.transfermarkt.com/marius-bulter/profil/spieler/116088,30.77
1. FC Köln,3,2026,4.0,Timo Hübers,236981,Centre-Back,30,Germany,30/06/2027,€1.50m,1500000.0,https://www.transfermarkt.com/timo-hubers/profil/spieler/236981,26.92
1. FC Köln,3,2026,23.0,Paul Okon-Engstler,1064377,Defensive Midfield,21,Australia|Italy,30/06/2030,€1.20m,1200000.0,https://www.transfermarkt.com/paul-okon-engstler/profil/spieler/1064377,23.08
1. FC Köln,3,2026,,Imad Rondic,464154,Centre-Forward,27,Bosnia-Herzegovina,30/06/2029,€750k,750000.0,https://www.transfermarkt.com/imad-rondic/profil/spieler/464154,19.23
1. FC Köln,3,2026,20.0,Ron-Robert Zieler,21327,Goalkeeper,37,Germany,30/06/2027,€500k,500000.0,https://www.transfermarkt.com/ron-robert-zieler/profil/spieler/21327,15.38
1. FC Köln,3,2026,,Elias Bakatukanda,795762,Centre-Back,22,DR Congo|Germany,30/06/2028,€300k,300000.0,https://www.transfermarkt.com/elias-bakatukanda/profil/spieler/795762,11.54
1. FC Köln,3,2026,19.0,Malek El Mala,1168222,Centre-Forward,21,Germany,30/06/2030,€250k,250000.0,https://www.transfermarkt.com/malek-el-mala/profil/spieler/1168222,7.69
1. FC Köln,3,2026,44.0,Matthias Köbbing,227089,Goalkeeper,29,Germany,30/06/2027,€100k,100000.0,https://www.transfermarkt.com/matthias-kobbing/profil/spieler/227089,3.85
1. FC Köln,3,2026,,Gil Neves,1073474,Attacking Midfield,18,Portugal|Luxembourg,,-,,https://www.transfermarkt.com/gil-neves/profil/spieler/1073474,
1. FC Köln,3,2026,21.0,Martin James,1077676,Goalkeeper,18,France,30/06/2029,-,,https://www.transfermarkt.com/martin-james/profil/spieler/1077676,
1. FC Köln,3,2026,11.0,Reigan Heskey,1056437,Left Winger,18,England|Antigua and Barbuda,30/06/2031,-,,https://www.transfermarkt.com/reigan-heskey/profil/spieler/1056437,
Bayer Leverkusen,15,2026,30.0,Ibrahim Maza,905011,Attacking Midfield,20,Algeria|Germany,30/06/2030,€45.00m,45000000.0,https://www.transfermarkt.com/ibrahim-maza/profil/spieler/905011,98.39
Bayer Leverkusen,15,2026,4.0,Jarell Quansah,632349,Centre-Back,23,England|Scotland,30/06/2030,€45.00m,45000000.0,https://www.transfermarkt.com/jarell-quansah/profil/spieler/632349,98.39
