id,teamId,firstName,lastName,marketValue,averagePoints,games,gamesPlayed,start11,totalPlaytimeS,totalPoints,status,position,playerImage,number,trend,pointsPerValue,pointsStdDev,history,startProbability,name,marketChangeToday,marketChange.today,marketChange.yesterday,marketChange.twoDays,marketChange.sevenDaysAvg,marketChange.thirtyDaysAvg,sofascore_average_rating,expected_match_points,ligainsider_starting_chance,rotowire_starting_chance,questionable_injury_penalty,starting_chance,score
173,2,Jonathan,Tah,36842007.0,127.0,28.0,28.0,23.0,135209.0,3559.0,0,2,https://kickbase.b-cdn.net/content/file/bbdbcc801d7245e79786231de87b80b7.png,4.0,1,96.0,,"[{""hasPlayed"": true, ""points"": 146}, {""hasPlayed"": true, ""points"": 53}, {""hasPlayed"": true, ""points"": 84}, {""hasPlayed"": true, ""points"": 59}, {""hasPlayed"": false, ""points"": null}]",1,Jonathan Tah,55833.0,55833.0,48730.0,52317.0,347287.0,1706208.0,7.1,2.382104545335327,1.0,1.0,0.0,1.0,16.912942
237,2,Manuel,Neuer,12860372.0,95.0,22.0,22.0,22.0,124205.0,2083.0,0,1,https://kickbase.b-cdn.net/content/file/aadd45c3d6354126886481e0a33a3c1f.png,1.0,1,161.0,,"[{""hasPlayed"": true, ""points"": 45}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",2,Manuel Neuer,98835.0,98835.0,70077.0,55823.0,407561.0,1329241.0,6.3,2.382104545335327,1.0,1.0,0.0,1.0,15.007259
383,2,Sven,Ulreich,1675813.0,125.0,1.0,1.0,1.0,6244.0,125.0,0,1,https://kickbase.b-cdn.net/content/file/903ab63179ea4d5bb2d3308d33ed94a8.png,26.0,2,74.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",5,Sven Ulreich,-182203.0,-182203.0,-210462.0,-10810.0,97162.0,1099786.0,0.0,2.382104545335327,0.0,0.0,0.0,0.0,0.0
1685,2,Joshua,Kimmich,59703646.0,186.0,29.0,29.0,24.0,151968.0,5391.0,0,3,https://kickbase.b-cdn.net/content/file/e84941ae3809492c84e8f8bad5b3791e.png,6.0,1,90.0,,"[{""hasPlayed"": true, ""points"": 317}, {""hasPlayed"": true, ""points"": 238}, {""hasPlayed"": true, ""points"": 83}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 215}]",1,Joshua Kimmich,27478.0,27478.0,27719.0,27156.0,200453.0,831025.0,7.85,2.382104545335327,1.0,1.0,0.0,1.0,18.699521
1961,2,Serge,Gnabry,16884711.0,142.0,21.0,21.0,16.0,80707.0,2980.0,2,3,https://kickbase.b-cdn.net/content/file/e88435a468a14a10b3e6894bbc3bb0a1.png,7.0,2,176.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",5,Serge Gnabry,-429526.0,-429526.0,-413437.0,-424869.0,-2012673.0,-253534.0,0.0,2.382104545335327,0.0,0.0,0.0,0.0,0.0
1991,2,Dayotchanculle,Upamecano,33748368.0,119.0,24.0,24.0,21.0,119193.0,2858.0,0,2,https://kickbase.b-cdn.net/content/file/786ab7fb4f394b598ffdd4d09c323bfa.png,2.0,1,84.0,,"[{""hasPlayed"": true, ""points"": 152}, {""hasPlayed"": true, ""points"": 71}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",2,Dayotchanculle Upamecano,71387.0,71387.0,66183.0,65015.0,481936.0,2199848.0,7.3,2.382104545335327,0.3333333333333333,1.0,0.0,0.5333333333333333,9.274327
2038,2,Konrad,Laimer,32688837.0,136.0,29.0,29.0,22.0,131747.0,3943.0,2,2,https://kickbase.b-cdn.net/content/file/5facdf754a204792b327d0754f2ede01.png,27.0,2,120.0,,"[{""hasPlayed"": true, ""points"": 69}, {""hasPlayed"": true, ""points"": 135}, {""hasPlayed"": true, ""points"": 95}, {""hasPlayed"": true, ""points"": 241}, {""hasPlayed"": true, ""points"": 39}]",3,Konrad Laimer,-602064.0,-602064.0,-581587.0,-205597.0,-1359433.0,-177470.0,6.66,2.382104545335327,1.0,1.0,0.15,0.85,13.485094
2300,2,Josip,Stanišić,24052327.0,128.0,26.0,26.0,19.0,124437.0,3330.0,0,2,https://kickbase.b-cdn.net/content/file/0828c39abfa3434387731b4125f9c877.png,44.0,2,138.0,,"[{""hasPlayed"": true, ""points"": 70}, {""hasPlayed"": true, ""points"": 172}, {""hasPlayed"": true, ""points"": 46}, {""hasPlayed"": true, ""points"": 72}, {""hasPlayed"": true, ""points"": 105}]",3,Josip Stanišić,-295777.0,-295777.0,-309066.0,-444112.0,-3457558.0,-4575129.0,6.64,2.382104545335327,0.0,0.0,0.0,0.0,0.0
2366,2,Alphonso,Davies,13403924.0,86.0,13.0,13.0,6.0,36386.0,1116.0,0,2,https://kickbase.b-cdn.net/content/file/c425ab49434449f08f28bcd1ae8b303d.png,19.0,2,83.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 63}, {""hasPlayed"": true, ""points"": 92}, {""hasPlayed"": true, ""points"": 200}]",3,Alphonso Davies,-289128.0,-289128.0,-292813.0,-321549.0,-2221781.0,-1107762.0,6.83,2.382104545335327,0.0,0.0,0.0,0.0,0.0
2804,2,Jamal,Musiala,35277696.0,98.0,15.0,15.0,7.0,45579.0,1476.0,2,3,https://kickbase.b-cdn.net/content/file/0874c227bdbf4d93b915953ecd463f34.png,10.0,1,41.0,,"[{""hasPlayed"": true, ""points"": 36}, {""hasPlayed"": true, ""points"": 100}, {""hasPlayed"": true, ""points"": 42}, {""hasPlayed"": true, ""points"": 198}, {""hasPlayed"": true, ""points"": 125}]",3,Jamal Musiala,22740.0,22740.0,38967.0,68693.0,435804.0,2130252.0,6.78,2.382104545335327,0.0,1.0,0.15,0.15,2.4226
