id,teamId,firstName,lastName,marketValue,averagePoints,games,gamesPlayed,start11,totalPlaytimeS,totalPoints,status,position,playerImage,number,trend,pointsPerValue,pointsStdDev,history,startProbability,name,marketChangeToday,marketChange.today,marketChange.yesterday,marketChange.twoDays,marketChange.sevenDaysAvg,marketChange.thirtyDaysAvg
173,2,Jonathan,Tah,33630269.0,35.0,1.0,1.0,0.0,693.0,35.0,0,2,https://kickbase.b-cdn.net/content/file/cd9c5cb89a074d1ea56f7d952e5074e4.png,4.0,2,1.0,,"[{""hasPlayed"": true, ""points"": 35}]",3,Jonathan Tah,-637454.0,-637454.0,-561808.0,-515197.0,-3266044.0,-2432780.0
237,2,Manuel,Neuer,14552983.0,145.0,1.0,1.0,1.0,5767.0,145.0,0,1,https://kickbase.b-cdn.net/content/file/bf993bb6d6914136b11177795c5f77a9.png,1.0,1,9.0,,"[{""hasPlayed"": true, ""points"": 145}]",1,Manuel Neuer,92910.0,92910.0,131517.0,144356.0,718702.0,2317397.0
383,2,Sven,Ulreich,500000.0,,,,,,,0,1,https://kickbase.b-cdn.net/content/file/0535504fe45c48b6a905e9a14da5851d.png,26.0,0,,,"[{""hasPlayed"": false, ""points"": null}]",5,Sven Ulreich,0.0,0.0,0.0,0.0,-41527.0,-11636.0
1685,2,Joshua,Kimmich,59870453.0,303.0,1.0,1.0,1.0,5767.0,303.0,0,3,https://kickbase.b-cdn.net/content/file/b41a70e2188a4c72aa165cfc7606c3e9.png,6.0,1,5.0,,"[{""hasPlayed"": true, ""points"": 303}]",1,Joshua Kimmich,4003.0,4003.0,8506.0,13275.0,-5874.0,559689.0
1961,2,Serge,Gnabry,12468509.0,,,,,,,2,3,https://kickbase.b-cdn.net/content/file/0a28d7fc999e415eb4aba7e837b0384c.png,7.0,1,,,"[{""hasPlayed"": false, ""points"": null}]",5,Serge Gnabry,21249.0,21249.0,40444.0,2029.0,-1061834.0,-6140271.0
1991,2,Dayot,Upamecano,33398087.0,272.0,1.0,1.0,1.0,5767.0,272.0,0,2,https://kickbase.b-cdn.net/content/file/13835e113e4f40d986f924b517690435.png,2.0,1,8.0,,"[{""hasPlayed"": true, ""points"": 272}]",2,Dayot Upamecano,34235.0,34235.0,35892.0,50670.0,108246.0,659825.0
2038,2,Konrad,Laimer,32157097.0,107.0,1.0,1.0,1.0,5767.0,107.0,0,2,https://kickbase.b-cdn.net/content/file/cb9d5de1bbd14bf0915f1ec819569c17.png,27.0,1,3.0,,"[{""hasPlayed"": true, ""points"": 107}]",3,Konrad Laimer,-17665.0,-17665.0,6215.0,19873.0,13902.0,-1559675.0
2300,2,Josip,Stanišić,19607562.0,43.0,1.0,1.0,0.0,1298.0,43.0,0,2,https://kickbase.b-cdn.net/content/file/e5f36d7812254f3cb4534802eb6cd7e9.png,44.0,2,2.0,,"[{""hasPlayed"": true, ""points"": 43}]",3,Josip Stanišić,-527635.0,-527635.0,-455122.0,-475937.0,-2648093.0,-9298081.0
2366,2,Alphonso,Davies,13370225.0,153.0,1.0,1.0,1.0,4468.0,153.0,0,2,https://kickbase.b-cdn.net/content/file/1321be6fb58f47b592a91f17f6b2bf68.png,19.0,1,11.0,,"[{""hasPlayed"": true, ""points"": 153}]",3,Alphonso Davies,248326.0,248326.0,259979.0,273440.0,1547623.0,-2073019.0
2804,2,Jamal,Musiala,24644739.0,,,,,,,2,3,https://kickbase.b-cdn.net/content/file/02ac203768a94e169fa6c6b87130a94e.png,10.0,2,,,"[{""hasPlayed"": false, ""points"": null}]",5,Jamal Musiala,-462189.0,-462189.0,-443431.0,-476849.0,-3713013.0,-9771048.0
3072,2,Jonas,Urbig,5336755.0,,,,,,,0,1,https://kickbase.b-cdn.net/content/file/7305496deb014e31a4001d36894c457d.png,40.0,2,,,"[{""hasPlayed"": false, ""points"": null}]",5,Jonas Urbig,-240821.0,-240821.0,-262763.0,-265634.0,-1812507.0,-7126104.0
3089,2,Hiroki,Ito,4511557.0,,,,,,,0,2,https://kickbase.b-cdn.net/content/file/7d48858483334caca6c4315882270919.png,21.0,2,,,"[{""hasPlayed"": false, ""points"": null}]",5,Hiroki Ito,-102637.0,-102637.0,-110053.0,-128566.0,-1449636.0,-2211679.0
3120,2,Tom,Bischof,19731020.0,40.0,1.0,1.0,0.0,697.0,40.0,0,3,https://kickbase.b-cdn.net/content/file/9d622fb218a14c90ad0a75266080e027.png,8.0,2,2.0,,"[{""hasPlayed"": true, ""points"": 40}]",4,Tom Bischof,-446415.0,-446415.0,-496828.0,-471013.0,-2850479.0,-730649.0
3543,2,Nathaniel,Brown,29978590.0,60.0,1.0,1.0,1.0,3686.0,60.0,0,2,https://kickbase.b-cdn.net/content/file/4dd49322843644839bb43182b3a8b68b.png,11.0,2,2.0,,"[{""hasPlayed"": true, ""points"": 60}]",3,Nathaniel Brown,-144941.0,-144941.0,-5264.0,30080.0,235272.0,2140457.0
6080,2,Aleksandar,Pavlović,33224416.0,256.0,1.0,1.0,1.0,5069.0,256.0,0,3,https://kickbase.b-cdn.net/content/file/958c27ad7cf943a8b9e380f72fdc5b4f.png,45.0,1,7.0,,"[{""hasPlayed"": true, ""points"": 256}]",2,Aleksandar Pavlović,72222.0,72222.0,88333.0,106619.0,601866.0,2583483.0
6668,2,Kim,Minjae,12115429.0,110.0,1.0,1.0,1.0,5073.0,110.0,0,2,https://kickbase.b-cdn.net/content/file/4df81f5e57ca4e278fb6bc229ed6e05d.png,3.0,1,9.0,,"[{""hasPlayed"": true, ""points"": 110}]",3,Kim Minjae,172387.0,172387.0,208539.0,235521.0,1366046.0,721645.0
7226,2,Harry,Kane,68891954.0,124.0,1.0,1.0,1.0,5071.0,124.0,0,4,https://kickbase.b-cdn.net/content/file/8558eff47626439593b2acd71e400ab3.png,9.0,1,1.0,,"[{""hasPlayed"": true, ""points"": 124}]",1,Harry Kane,177.0,177.0,5251.0,9841.0,53218.0,618902.0
8329,2,Michael,Olise,65005159.0,249.0,1.0,1.0,1.0,5767.0,249.0,0,3,https://kickbase.b-cdn.net/content/file/2d1bffc491014bb582c5d1c622b0ee37.png,17.0,1,3.0,,"[{""hasPlayed"": true, ""points"": 249}]",1,Michael Olise,13155.0,13155.0,15873.0,19112.0,133833.0,867243.0
10789,2,Lennart,Karl,20549394.0,21.0,1.0,1.0,0.0,695.0,21.0,0,3,https://kickbase.b-cdn.net/content/file/64b2f60104dd4a96af2c8b9d4af6f07d.png,42.0,1,1.0,,"[{""hasPlayed"": true, ""points"": 21}]",3,Lennart Karl,60407.0,60407.0,65993.0,58245.0,-18400.0,-5491736.0
11675,2,Luis,Díaz,53739205.0,215.0,1.0,1.0,1.0,5767.0,215.0,0,4,https://kickbase.b-cdn.net/content/file/43b93afe59614450a4de3fd8e08c486b.png,14.0,1,4.0,,"[{""hasPlayed"": true, ""points"": 215}]",1,Luis Díaz,12367.0,12367.0,16688.0,21298.0,141299.0,897477.0
12314,2,Bara Sapoko,Ndiaye,1662344.0,,,,,,,0,3,https://kickbase.b-cdn.net/content/file/68a7688ebea44fc49865d84afbf17a38.png,39.0,2,,,"[{""hasPlayed"": false, ""points"": null}]",5,Bara Sapoko Ndiaye,-48475.0,-48475.0,-72676.0,-81106.0,-492152.0,-1995144.0
14251,2,Ismael,Saibari,30426316.0,180.0,1.0,1.0,0.0,2080.0,180.0,0,4,https://kickbase.b-cdn.net/content/file/a8113275ef93446185b8dd4966df1834.png,34.0,1,5.0,,"[{""hasPlayed"": true, ""points"": 180}]",3,Ismael Saibari,52409.0,52409.0,77799.0,90332.0,372910.0,1493995.0
15502,2,Tim,Binder,2416037.0,,,,,,,4,3,https://kickbase.b-cdn.net/content/file/bd4ad2cb101841eab3aa5641a51ee891.png,0.0,2,,,"[{""hasPlayed"": false, ""points"": null}]",5,Tim Binder,-135370.0,-135370.0,-145109.0,-146370.0,-1054384.0,1916037.0
1664,9,Maximilian,Mittelstädt,26576170.0,79.0,1.0,1.0,1.0,5767.0,79.0,0,2,https://kickbase.b-cdn.net/content/file/eb576d01f97f40aa86c36b009d8502ec.png,7.0,1,2.0,,"[{""hasPlayed"": true, ""points"": 79}]",1,Maximilian Mittelstädt,44183.0,44183.0,59332.0,66538.0,274667.0,-1941357.0
1671,9,Grischa,Prömel,15180015.0,35.0,1.0,1.0,1.0,5767.0,35.0,0,3,https://kickbase.b-cdn.net/content/file/08b903ec758e4ca3be71c96efaf7d324.png,21.0,1,2.0,,"[{""hasPlayed"": true, ""points"": 35}]",1,Grischa Prömel,140368.0,140368.0,163167.0,190591.0,1079214.0,3619699.0
2068,9,Dan-Axel,Zagadou,1415002.0,,,,,,,1,2,https://kickbase.b-cdn.net/content/file/b356ec2b4bb34ae28c670dafbe1077c8.png,23.0,2,,,"[{""hasPlayed"": false, ""points"": null}]",5,Dan-Axel Zagadou,-103308.0,-103308.0,-116945.0,-130067.0,-869599.0,-3328886.0
2120,9,Nikolas,Nartey,4691312.0,,,,,,,4,3,https://kickbase.b-cdn.net/content/file/2133891e0645414dbdd7c340023656af.png,28.0,2,,,"[{""hasPlayed"": false, ""points"": null}]",5,Nikolas Nartey,-133126.0,-133126.0,-141289.0,-381504.0,-2155147.0,-1088600.0
2172,9,Chris,Führich,20626278.0,,,,,,,0,3,https://kickbase.b-cdn.net/content/file/9a804bbfd5e14d84a33ca8e11ba3feb7.png,10.0,2,,,"[{""hasPlayed"": false, ""points"": null}]",3,Chris Führich,-166180.0,-166180.0,-246062.0,-367314.0,-2375110.0,-3064795.0
2199,9,Josha,Vagnoman,8301622.0,73.0,1.0,1.0,1.0,5767.0,73.0,0,2,https://kickbase.b-cdn.net/content/file/c0ddab007ad34b48b3efcfa3cb66ef4d.png,4.0,1,8.0,,"[{""hasPlayed"": true, ""points"": 73}]",3,Josha Vagnoman,308497.0,308497.0,328703.0,354832.0,2466120.0,2507205.0
2214,9,Atakan,Karazor,4035357.0,,,,,,,0,3,https://kickbase.b-cdn.net/content/file/219e2119996649e0846de7d6cd41906d.png,16.0,2,,,"[{""hasPlayed"": false, ""points"": null}]",5,Atakan Karazor,-90273.0,-90273.0,-91296.0,-115681.0,-744440.0,-6448928.0
2237,9,Fabian,Bredlow,12223174.0,111.0,1.0,1.0,1.0,5767.0,111.0,0,1,https://kickbase.b-cdn.net/content/file/9c66b1c555ae45aea1e62e700f53f3e9.png,1.0,1,9.0,,"[{""hasPlayed"": true, ""points"": 111}]",1,Fabian Bredlow,111820.0,111820.0,146961.0,178756.0,1003846.0,7255992.0
2445,9,Marius,Funk,2568973.0,,,,,,,0,1,https://kickbase.b-cdn.net/content/file/0e9c65b96cb040e5bd1a1d2127c167c9.png,33.0,2,,,"[{""hasPlayed"": false, ""points"": null}]",5,Marius Funk,-152724.0,-152724.0,-155293.0,-150128.0,-1054805.0,1082242.0
2694,9,Angelo,Stiller,34331734.0,25.0,1.0,1.0,1.0,5330.0,25.0,0,3,https://kickbase.b-cdn.net/content/file/11b094668fbf453fa70c2bcce7ffa8e8.png,6.0,2,0.0,,"[{""hasPlayed"": true, ""points"": 25}]",1,Angelo Stiller,-327639.0,-327639.0,-248277.0,-305597.0,-2055504.0,-1892071.0
2854,9,Ermedin,Demirović,15870738.0,-4.0,1.0,1.0,0.0,1976.0,-4.0,0,4,https://kickbase.b-cdn.net/content/file/80dff151ca80494294c4872fe9d6d725.png,9.0,2,,,"[{""hasPlayed"": true, ""points"": -4}]",3,Ermedin Demirović,-65533.0,-65533.0,-207153.0,-319190.0,-2338448.0,-9308844.0
2988,9,Jamie,Leweling,21468560.0,-3.0,1.0,1.0,0.0,1986.0,-3.0,0,3,https://kickbase.b-cdn.net/content/file/c9e7ad1b174e48d8aaf075b0bc0bb13d.png,18.0,2,,,"[{""hasPlayed"": true, ""points"": -3}]",2,Jamie Leweling,33055.0,33055.0,1865.0,-193031.0,-1752231.0,-5164767.0
3190,9,Jeff,Chabot,22738699.0,17.0,1.0,1.0,1.0,4488.0,17.0,0,2,https://kickbase.b-cdn.net/content/file/ee6e1ec0b942485d99b3293e1c9d42f9.png,24.0,2,0.0,,"[{""hasPlayed"": true, ""points"": 17}]",1,Jeff Chabot,-42005.0,-42005.0,-59324.0,-127852.0,-1126210.0,-2614771.0
3193,9,,Tiago Tomás,9460597.0,35.0,1.0,1.0,1.0,3780.0,35.0,1,4,https://kickbase.b-cdn.net/content/file/bc4ccccad9f44c0fa4e3f4e7a406cb75.png,8.0,1,3.0,,"[{""hasPlayed"": true, ""points"": 35}]",5,Tiago Tomás,-49698.0,-49698.0,296635.0,331620.0,1984181.0,4118625.0
4296,9,Dzenan,Pejcinovic,10929287.0,-6.0,1.0,1.0,1.0,3790.0,-6.0,0,4,https://kickbase.b-cdn.net/content/file/dce6b383ea96472faf6e2059c30593a9.png,17.0,1,,4.0,"[{""hasPlayed"": true, ""points"": -6}]",3,Dzenan Pejcinovic,184353.0,184353.0,209826.0,228561.0,2227748.0,8050225.0
4589,9,Justin,Diehl,1194012.0,,,,,,,1,4,https://kickbase.b-cdn.net/content/file/30199653f3bb49e4893c86fb81d21361.png,31.0,2,,,"[{""hasPlayed"": false, ""points"": null}]",5,Justin Diehl,-182301.0,-182301.0,-26928.0,85974.0,411041.0,694012.0
6085,9,Dennis,Seimen,6278094.0,,,,,,,4,1,https://kickbase.b-cdn.net/content/file/6d05c64ea8014ede879dd27ed387ef4e.png,41.0,1,,,"[{""hasPlayed"": false, ""points"": null}]",5,Dennis Seimen,157485.0,157485.0,221843.0,242936.0,1343040.0,-2550165.0
