id,teamId,firstName,lastName,marketValue,averagePoints,games,gamesPlayed,start11,totalPlaytimeS,totalPoints,status,position,playerImage,number,trend,pointsPerValue,pointsStdDev,history,startProbability,name,marketChangeToday,marketChange.today,marketChange.yesterday,marketChange.twoDays,marketChange.sevenDaysAvg,marketChange.thirtyDaysAvg,kbstats_last5_average_points,expected_match_points,ligainsider_starting_chance,rotowire_starting_chance,questionable_injury_penalty,starting_chance,score
8227,43,Maarten,Vandevoordt,15446600.0,109.0,12.0,12.0,11.0,69295.0,1313.0,0,1,https://kickbase.b-cdn.net/content/file/cb4de12c99d148feb2f88e1c91186400.png,26.0,1,85.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 77}, {""hasPlayed"": true, ""points"": 87}, {""hasPlayed"": true, ""points"": 96}, {""hasPlayed"": true, ""points"": 135}]",2,Maarten Vandevoordt,146901.0,146901.0,143407.0,136866.0,1019021.0,4246194.0,98.75,2.0684447930966856,1.0,1.0,0.0,1.0,204.258923
2736,3,Ramy,Bensebaini,20748993.0,128.0,21.0,21.0,15.0,102687.0,2683.0,0,2,https://kickbase.b-cdn.net/content/file/f52b92d109bf4f53b2fb20e5c50f00ec.png,5.0,1,129.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 364}, {""hasPlayed"": true, ""points"": 106}]",1,Ramy Bensebaini,209041.0,209041.0,194941.0,173674.0,1306023.0,4499529.0,235.0,2.3519386450788238,1.0,0.0,0.0,0.7,386.893907
1246,43,Willi,Orban,31081756.0,131.0,33.0,33.0,33.0,193712.0,4323.0,0,2,https://kickbase.b-cdn.net/content/file/bda722458bd445d5ba24094a5306031d.png,4.0,1,139.0,,"[{""hasPlayed"": true, ""points"": 110}, {""hasPlayed"": true, ""points"": 313}, {""hasPlayed"": true, ""points"": 82}, {""hasPlayed"": true, ""points"": 131}, {""hasPlayed"": false, ""points"": null}]",2,Willi Orban,67534.0,67534.0,63147.0,61764.0,439668.0,1798893.0,159.0,2.0684447930966856,1.0,1.0,0.0,1.0,328.882722
2232,18,Philipp,Mwene,7557196.0,49.0,29.0,29.0,24.0,136771.0,1428.0,0,2,https://kickbase.b-cdn.net/content/file/275de3be8348462b85588eaa3c89e4b3.png,2.0,2,188.0,,"[{""hasPlayed"": true, ""points"": 181}, {""hasPlayed"": true, ""points"": 41}, {""hasPlayed"": true, ""points"": 233}, {""hasPlayed"": true, ""points"": 16}, {""hasPlayed"": true, ""points"": 57}]",2,Philipp Mwene,-208838.0,-208838.0,-293966.0,-266218.0,-473159.0,3085749.0,105.6,1.933080138962492,1.0,1.0,0.0,1.0,204.133263
2006,18,Stefan,Posch,9561639.0,90.0,16.0,16.0,16.0,93180.0,1446.0,0,2,https://kickbase.b-cdn.net/content/file/61c45113d8144342ae187dd599d3eff5.png,0.0,1,151.0,,"[{""hasPlayed"": true, ""points"": 97}, {""hasPlayed"": true, ""points"": 63}, {""hasPlayed"": true, ""points"": 121}, {""hasPlayed"": true, ""points"": 53}, {""hasPlayed"": true, ""points"": 154}]",2,Stefan Posch,372719.0,372719.0,350150.0,280200.0,1212866.0,1212866.0,97.6,1.933080138962492,1.0,1.0,0.0,1.0,188.668622
1685,2,Joshua,Kimmich,59703646.0,186.0,29.0,29.0,24.0,151968.0,5391.0,0,3,https://kickbase.b-cdn.net/content/file/e84941ae3809492c84e8f8bad5b3791e.png,6.0,1,90.0,,"[{""hasPlayed"": true, ""points"": 317}, {""hasPlayed"": true, ""points"": 238}, {""hasPlayed"": true, ""points"": 83}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 215}]",1,Joshua Kimmich,27478.0,27478.0,27719.0,27156.0,200453.0,831025.0,213.25,2.382104545335327,1.0,1.0,0.0,1.0,507.983794
3120,2,Tom,Bischof,22168089.0,118.0,26.0,26.0,14.0,88493.0,3077.0,0,3,https://kickbase.b-cdn.net/content/file/f25237e8f3a640479c355850b4139da6.png,8.0,1,138.0,,"[{""hasPlayed"": true, ""points"": 268}, {""hasPlayed"": true, ""points"": 228}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",3,Tom Bischof,153621.0,153621.0,141854.0,115777.0,915510.0,3526137.0,248.0,2.382104545335327,0.6666666666666666,0.0,0.0,0.4666666666666666,275.688899
2746,7,Patrik,Schick,29279552.0,103.0,28.0,28.0,23.0,130835.0,2889.0,0,4,https://kickbase.b-cdn.net/content/file/9f0daa3f23514ac7a72c46ba81396a95.png,14.0,1,98.0,,"[{""hasPlayed"": true, ""points"": 42}, {""hasPlayed"": true, ""points"": 23}, {""hasPlayed"": true, ""points"": 367}, {""hasPlayed"": true, ""points"": 227}, {""hasPlayed"": true, ""points"": 161}]",3,Patrik Schick,32242.0,32242.0,31086.0,34557.0,253259.0,1373023.0,164.0,2.040910253132191,1.0,1.0,0.0,1.0,334.709282
1920,3,Serhou,Guirassy,28960380.0,102.0,33.0,33.0,27.0,151810.0,3356.0,0,4,https://kickbase.b-cdn.net/content/file/fb2bd82aeb8440f8acdbcf6ebf4487dc.png,9.0,1,115.0,,"[{""hasPlayed"": true, ""points"": 155}, {""hasPlayed"": true, ""points"": 134}, {""hasPlayed"": true, ""points"": 26}, {""hasPlayed"": true, ""points"": 187}, {""hasPlayed"": true, ""points"": 101}]",2,Serhou Guirassy,117105.0,117105.0,114378.0,108306.0,774109.0,2824485.0,120.6,2.3519386450788238,1.0,1.0,0.0,1.0,283.643801
3183,13,Anton,Kade,11437141.0,64.0,28.0,28.0,18.0,114106.0,1783.0,256,4,https://kickbase.b-cdn.net/content/file/5bef82c23f844966930669b63b5e6377.png,30.0,1,155.0,,"[{""hasPlayed"": true, ""points"": 53}, {""hasPlayed"": true, ""points"": 108}, {""hasPlayed"": true, ""points"": 306}, {""hasPlayed"": true, ""points"": 147}, {""hasPlayed"": true, ""points"": 72}]",1,Anton Kade,138630.0,138630.0,150378.0,167673.0,1099296.0,5785887.0,137.2,1.5743579915676504,1.0,1.0,0.0,1.0,216.001916
