id,teamId,firstName,lastName,marketValue,averagePoints,games,gamesPlayed,start11,totalPlaytimeS,totalPoints,status,position,playerImage,number,trend,pointsPerValue,pointsStdDev,history,startProbability,name,marketChangeToday,marketChange.today,marketChange.yesterday,marketChange.twoDays,marketChange.sevenDaysAvg,marketChange.thirtyDaysAvg,kbstats_average_points,expected_match_points,ligainsider_starting_chance,rotowire_starting_chance,questionable_injury_penalty,starting_chance,score
237,2,Manuel,Neuer,12860372.0,95.0,22.0,22.0,22.0,124205.0,2083.0,0,1,https://kickbase.b-cdn.net/content/file/aadd45c3d6354126886481e0a33a3c1f.png,1.0,1,161.0,,"[{""hasPlayed"": true, ""points"": 45}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",2,Manuel Neuer,98835.0,98835.0,70077.0,55823.0,407561.0,1329241.0,95.0,2.382104545335327,1.0,1.0,0.0,1.0,226.299932
2038,2,Konrad,Laimer,32688837.0,136.0,29.0,29.0,22.0,131747.0,3943.0,2,2,https://kickbase.b-cdn.net/content/file/5facdf754a204792b327d0754f2ede01.png,27.0,2,120.0,,"[{""hasPlayed"": true, ""points"": 69}, {""hasPlayed"": true, ""points"": 135}, {""hasPlayed"": true, ""points"": 95}, {""hasPlayed"": true, ""points"": 241}, {""hasPlayed"": true, ""points"": 39}]",3,Konrad Laimer,-602064.0,-602064.0,-581587.0,-205597.0,-1359433.0,-177470.0,136.0,2.382104545335327,1.0,0.85,0.15,0.955,309.387738
2141,43,Ridle ,Baku,18641371.0,102.0,32.0,32.0,28.0,162435.0,3278.0,0,2,https://kickbase.b-cdn.net/content/file/dea132bbe8444490a8b8fa7d725f4b64.png,17.0,2,175.0,,"[{""hasPlayed"": true, ""points"": -4}, {""hasPlayed"": true, ""points"": 95}, {""hasPlayed"": true, ""points"": 38}, {""hasPlayed"": true, ""points"": 224}, {""hasPlayed"": true, ""points"": 124}]",3,Ridle  Baku,-249379.0,-249379.0,-254725.0,-236305.0,-867645.0,1603970.0,102.0,2.0684447930966856,1.0,1.0,0.0,1.0,210.981369
10115,3,Daniel,Svensson,18330982.0,82.0,33.0,33.0,27.0,162894.0,2705.0,0,2,https://kickbase.b-cdn.net/content/file/9ff6af44ccf14bb3846cafc261f362ad.png,24.0,2,147.0,,"[{""hasPlayed"": true, ""points"": 151}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": -11}, {""hasPlayed"": true, ""points"": 27}, {""hasPlayed"": true, ""points"": 34}]",3,Daniel Svensson,-191162.0,-191162.0,-262896.0,-379228.0,-1661388.0,52862.0,82.0,2.3519386450788238,1.0,1.0,0.0,1.0,192.858969
2006,18,Stefan,Posch,9561639.0,90.0,16.0,16.0,16.0,93180.0,1446.0,0,2,https://kickbase.b-cdn.net/content/file/61c45113d8144342ae187dd599d3eff5.png,0.0,1,151.0,,"[{""hasPlayed"": true, ""points"": 97}, {""hasPlayed"": true, ""points"": 63}, {""hasPlayed"": true, ""points"": 121}, {""hasPlayed"": true, ""points"": 53}, {""hasPlayed"": true, ""points"": 154}]",2,Stefan Posch,372719.0,372719.0,350150.0,280200.0,1212866.0,1212866.0,90.0,1.933080138962492,1.0,1.0,0.0,1.0,173.977213
3754,7,Lucas,Vázquez,2769950.0,69.0,12.0,12.0,6.0,33531.0,824.0,0,2,https://kickbase.b-cdn.net/content/file/1636c5905fe44210aa3526352673cb13.png,21.0,2,297.0,,"[{""hasPlayed"": true, ""points"": 31}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 49}]",4,Lucas Vázquez,-44525.0,-44525.0,-69036.0,-83305.0,-595579.0,-1335117.0,69.0,2.040910253132191,0.6417112299465241,1.0,0.0,0.7491978609625668,105.504146
8329,2,Michael,Olise,64621231.0,225.0,32.0,32.0,23.0,154488.0,7185.0,0,3,https://kickbase.b-cdn.net/content/file/42c4a07d3d9a4dd0a7a4d68a1e5b5fee.png,17.0,1,111.0,,"[{""hasPlayed"": true, ""points"": 81}, {""hasPlayed"": true, ""points"": 334}, {""hasPlayed"": true, ""points"": 290}, {""hasPlayed"": true, ""points"": 166}, {""hasPlayed"": true, ""points"": 152}]",1,Michael Olise,33005.0,33005.0,34321.0,35915.0,239891.0,1079005.0,225.0,2.382104545335327,1.0,1.0,0.0,1.0,535.973523
3069,3,Felix,Nmecha,26352498.0,94.0,29.0,29.0,25.0,141393.0,2730.0,0,3,https://kickbase.b-cdn.net/content/file/510ad66f94f943fb940c1a7b11792266.png,8.0,1,103.0,,"[{""hasPlayed"": true, ""points"": 126}, {""hasPlayed"": true, ""points"": 14}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",1,Felix Nmecha,124984.0,124984.0,132133.0,130844.0,889822.0,5833149.0,94.0,2.3519386450788238,1.0,1.0,0.0,1.0,221.082233
4596,43,Brajan,Gruda,17763317.0,98.0,13.0,13.0,8.0,49007.0,1270.0,0,3,https://kickbase.b-cdn.net/content/file/f1dd66425b59403ab0f2796e4ad0b0f8.png,10.0,1,71.0,,"[{""hasPlayed"": true, ""points"": 28}, {""hasPlayed"": true, ""points"": 68}, {""hasPlayed"": true, ""points"": 89}, {""hasPlayed"": true, ""points"": 24}, {""hasPlayed"": true, ""points"": 48}]",1,Brajan Gruda,269114.0,269114.0,251568.0,252482.0,1735796.0,6559912.0,98.0,2.0684447930966856,1.0,1.0,0.0,1.0,202.70759
6176,43,Nicolas,Seiwald,16652180.0,86.0,33.0,33.0,31.0,174575.0,2839.0,0,3,https://kickbase.b-cdn.net/content/file/49894e11778042f09b92bdbd82994680.png,13.0,1,170.0,,"[{""hasPlayed"": true, ""points"": 44}, {""hasPlayed"": true, ""points"": 20}, {""hasPlayed"": true, ""points"": 60}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 115}]",1,Nicolas Seiwald,179063.0,179063.0,180701.0,163132.0,1205676.0,4436659.0,86.0,2.0684447930966856,1.0,1.0,0.0,1.0,177.886252
