id,teamId,firstName,lastName,marketValue,averagePoints,games,gamesPlayed,start11,totalPlaytimeS,totalPoints,status,position,playerImage,number,trend,pointsPerValue,pointsStdDev,history,name,marketChangeToday,score
577,15,Daniel,Batz,3927055.0,111.0,21.0,21.0,21.0,125022.0,2331.0,0,1,https://kickbase.b-cdn.net/pool/playersbig/577.png,33.0,2,593.0,,"[{""hasPlayed"": true, ""points"": 282}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 45}, {""hasPlayed"": true, ""points"": 37}, {""hasPlayed"": true, ""points"": 95}]",Daniel Batz,-118924.0,149
9440,3,Filippo,Mane,4607346.0,12.0,4.0,4.0,2.0,8570.0,46.0,0,2,https://kickbase.b-cdn.net/pool/playersbig/9440.png,39.0,2,9.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",Filippo Mane,-191987.0,150
2783,7,Edmond,Tapsoba,31829100.0,136.0,29.0,29.0,29.0,171644.0,3941.0,0,2,https://kickbase.b-cdn.net/pool/playersbig/2783.png,12.0,1,123.0,,"[{""hasPlayed"": true, ""points"": 111}, {""hasPlayed"": true, ""points"": 6}, {""hasPlayed"": true, ""points"": 135}, {""hasPlayed"": true, ""points"": 93}, {""hasPlayed"": true, ""points"": 194}]",Edmond Tapsoba,76634.0,149
8363,5,Berkay,Yilmaz,10097561.0,,,,,,,0,2,https://kickbase.b-cdn.net/pool/playersbig/8363.png,27.0,1,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",Berkay Yilmaz,239096.0,148
2897,43,Rocco,Reitz,13739845.0,74.0,31.0,31.0,31.0,170280.0,2301.0,2,3,https://kickbase.b-cdn.net/pool/playersbig/2897.png,20.0,1,167.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 131}, {""hasPlayed"": true, ""points"": 210}, {""hasPlayed"": true, ""points"": 100}, {""hasPlayed"": true, ""points"": 75}]",Rocco Reitz,87233.0,150
2988,9,Jamie,Leweling,26892717.0,103.0,32.0,32.0,26.0,153640.0,3282.0,2,3,https://kickbase.b-cdn.net/pool/playersbig/2988.png,18.0,1,122.0,,"[{""hasPlayed"": true, ""points"": 76}, {""hasPlayed"": true, ""points"": 166}, {""hasPlayed"": true, ""points"": 121}, {""hasPlayed"": true, ""points"": 22}, {""hasPlayed"": true, ""points"": 40}]",Jamie Leweling,36917.0,149
15262,14,Nathan,De Cat,15275991.0,,,,,,,0,3,https://kickbase.b-cdn.net/pool/playersbig/15262.png,17.0,1,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",Nathan De Cat,222706.0,148
513,4,Mario,Götze,3890718.0,33.0,21.0,21.0,8.0,60719.0,696.0,0,3,https://kickbase.b-cdn.net/pool/playersbig/513.png,27.0,1,178.0,,"[{""hasPlayed"": true, ""points"": 38}, {""hasPlayed"": true, ""points"": -1}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",Mario Götze,249449.0,147
3166,10,Keke,Topp,620177.0,22.0,20.0,20.0,7.0,45051.0,438.0,1,4,https://kickbase.b-cdn.net/pool/playersbig/3166.png,9.0,2,706.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",Keke Topp,-152442.0,150
2749,29,Steffen,Tigges,874475.0,,,,,,,0,4,https://kickbase.b-cdn.net/pool/playersbig/2749.png,27.0,2,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",Steffen Tigges,-97366.0,150
12293,9,Jeremy,Arévalo,3958852.0,15.0,7.0,7.0,0.0,4191.0,108.0,2,4,https://kickbase.b-cdn.net/pool/playersbig/12293.png,25.0,1,27.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",Jeremy Arévalo,225956.0,149
