id,teamId,firstName,lastName,marketValue,averagePoints,games,gamesPlayed,start11,totalPlaytimeS,totalPoints,status,position,playerImage,number,trend,pointsPerValue,pointsStdDev,history,startProbability,name,marketChangeToday,score
6085,9,Dennis,Seimen,6005700.0,,,,,,,1,1,https://kickbase.b-cdn.net/content/file/67a4b3e69dd04fa3953823a78c223e13.png,41.0,2,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",5,Dennis Seimen,-227687.0,8.35
2400,40,Christopher,Trimmel,5507486.0,60.0,29.0,29.0,22.0,122793.0,1732.0,0,2,https://kickbase.b-cdn.net/content/file/0133043125be433d91c3b93eb502aebe.png,28.0,2,314.0,,"[{""hasPlayed"": true, ""points"": 133}, {""hasPlayed"": true, ""points"": 139}, {""hasPlayed"": true, ""points"": 104}, {""hasPlayed"": true, ""points"": 14}, {""hasPlayed"": true, ""points"": 107}]",4,Christopher Trimmel,-483532.0,7.8
7283,13,Calvin,Brackelmann,6249467.0,,,,,,,0,2,https://kickbase.b-cdn.net/content/file/514f24d314534e7d8fc7e34c22bc7e91.png,0.0,2,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",3,Calvin Brackelmann,-319938.0,7.75
6197,29,Laurin,Curda,11818785.0,,,,,,,0,2,https://kickbase.b-cdn.net/content/file/ba195e9442954a30a3835950c99832a5.png,17.0,1,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",1,Laurin Curda,3589.0,7.75
2383,3,Nico,Schlotterbeck,29634417.0,148.0,28.0,28.0,28.0,166561.0,4142.0,1,2,https://kickbase.b-cdn.net/content/file/531ad1f9d6804b9db55d5aace6d79888.png,4.0,2,139.0,,"[{""hasPlayed"": true, ""points"": 142}, {""hasPlayed"": true, ""points"": 250}, {""hasPlayed"": true, ""points"": 72}, {""hasPlayed"": true, ""points"": 146}, {""hasPlayed"": true, ""points"": 67}]",5,Nico Schlotterbeck,-667761.0,7.6
8329,2,Michael,Olise,64588226.0,225.0,32.0,32.0,23.0,154488.0,7185.0,0,3,https://kickbase.b-cdn.net/content/file/42c4a07d3d9a4dd0a7a4d68a1e5b5fee.png,17.0,1,111.0,,"[{""hasPlayed"": true, ""points"": 81}, {""hasPlayed"": true, ""points"": 334}, {""hasPlayed"": true, ""points"": 290}, {""hasPlayed"": true, ""points"": 166}, {""hasPlayed"": true, ""points"": 152}]",1,Michael Olise,34321.0,8.34
3120,2,Tom,Bischof,22014468.0,118.0,26.0,26.0,14.0,88493.0,3077.0,0,3,https://kickbase.b-cdn.net/content/file/f25237e8f3a640479c355850b4139da6.png,8.0,1,139.0,,"[{""hasPlayed"": true, ""points"": 268}, {""hasPlayed"": true, ""points"": 228}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",3,Tom Bischof,141854.0,8.0
7269,7,Nathan,Tella,7213880.0,68.0,17.0,17.0,10.0,56629.0,1149.0,0,3,https://kickbase.b-cdn.net/content/file/e0df07546d38465080767efd17a0898e.png,23.0,2,159.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 277}, {""hasPlayed"": true, ""points"": 153}, {""hasPlayed"": true, ""points"": 83}]",3,Nathan Tella,-238111.0,7.97
4199,7,Aleix,García,38094668.0,142.0,33.0,33.0,31.0,175200.0,4684.0,0,3,https://kickbase.b-cdn.net/content/file/3de0ab19c54f4523a5bf21f686259db0.png,24.0,1,122.0,,"[{""hasPlayed"": true, ""points"": 229}, {""hasPlayed"": true, ""points"": 121}, {""hasPlayed"": true, ""points"": 214}, {""hasPlayed"": true, ""points"": 93}, {""hasPlayed"": true, ""points"": 181}]",1,Aleix García,114866.0,7.94
2120,9,Nikolas,Nartey,7344021.0,73.0,28.0,28.0,14.0,83295.0,2041.0,0,3,https://kickbase.b-cdn.net/content/file/7dcfaa141b6a4adba66ad4729afb0f1e.png,28.0,1,277.0,,"[{""hasPlayed"": true, ""points"": 150}, {""hasPlayed"": true, ""points"": 165}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 10}, {""hasPlayed"": false, ""points"": null}]",3,Nikolas Nartey,295081.0,7.75
2746,7,Patrik,Schick,29247310.0,103.0,28.0,28.0,23.0,130835.0,2889.0,0,4,https://kickbase.b-cdn.net/content/file/9f0daa3f23514ac7a72c46ba81396a95.png,14.0,1,98.0,,"[{""hasPlayed"": true, ""points"": 42}, {""hasPlayed"": true, ""points"": 23}, {""hasPlayed"": true, ""points"": 367}, {""hasPlayed"": true, ""points"": 227}, {""hasPlayed"": true, ""points"": 161}]",3,Patrik Schick,31086.0,7.52
