id,teamId,firstName,lastName,marketValue,averagePoints,games,gamesPlayed,start11,totalPlaytimeS,totalPoints,status,position,playerImage,number,trend,pointsPerValue,pointsStdDev,history,startProbability,name,marketChangeToday,score
3218,5,Mio,Backhaus,16770245.0,95.0,32.0,32.0,32.0,190988.0,3025.0,0,1,https://kickbase.b-cdn.net/content/file/5fddf9666b2c47e4852e7bc1db9068e9.png,0.0,1,180.0,,"[{""hasPlayed"": true, ""points"": 179}, {""hasPlayed"": true, ""points"": 115}, {""hasPlayed"": true, ""points"": 74}, {""hasPlayed"": true, ""points"": 120}, {""hasPlayed"": true, ""points"": 67}]",1,Mio Backhaus,104077.0,7.3
2395,3,Julian,Ryerson,25577034.0,105.0,31.0,31.0,26.0,148097.0,3246.0,0,2,https://kickbase.b-cdn.net/content/file/5c70c2a110fd48919c487e0b0d97af57.png,26.0,2,126.0,,"[{""hasPlayed"": true, ""points"": 141}, {""hasPlayed"": true, ""points"": 127}, {""hasPlayed"": true, ""points"": 41}, {""hasPlayed"": true, ""points"": 171}, {""hasPlayed"": true, ""points"": 3}]",1,Julian Ryerson,15327.0,8.1
6668,2,Kim,Minjae,9375449.0,124.0,25.0,25.0,19.0,106765.0,3112.0,2,2,https://kickbase.b-cdn.net/content/file/5c6879180be846a0be7608b367bb4100.png,3.0,2,331.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 173}, {""hasPlayed"": true, ""points"": 166}, {""hasPlayed"": true, ""points"": 148}, {""hasPlayed"": true, ""points"": 125}]",4,Kim Minjae,-246093.0,7.3
9598,14,Valentin,Gendrey,4546396.0,36.0,8.0,8.0,0.0,5564.0,287.0,0,2,https://kickbase.b-cdn.net/content/file/963aa0e9a1bf4537bba171631d3ef595.png,15.0,2,63.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",5,Valentin Gendrey,-235127.0,7.1
16378,3,Konstantinos,Karetsas,21829859.0,,,,,,,0,3,https://kickbase.b-cdn.net/content/file/2607076d85724a188e9db75bd12b7889.png,0.0,1,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",1,Konstantinos Karetsas,292746.0,7.6
11007,5,Cyriaque,Irié,4536918.0,15.0,10.0,10.0,3.0,24064.0,150.0,0,3,https://kickbase.b-cdn.net/content/file/19d04c847d954a3e8b2d044fbc6ab907.png,22.0,2,33.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": -20}, {""hasPlayed"": false, ""points"": null}]",4,Cyriaque Irié,-468070.0,7.5
2804,2,Jamal,Musiala,35254956.0,98.0,15.0,15.0,7.0,45579.0,1476.0,2,3,https://kickbase.b-cdn.net/content/file/0874c227bdbf4d93b915953ecd463f34.png,10.0,1,41.0,,"[{""hasPlayed"": true, ""points"": 36}, {""hasPlayed"": true, ""points"": 100}, {""hasPlayed"": true, ""points"": 42}, {""hasPlayed"": true, ""points"": 198}, {""hasPlayed"": true, ""points"": 125}]",3,Jamal Musiala,38967.0,7.5
4335,5,Derry,Scherhant,4744616.0,48.0,31.0,31.0,12.0,87953.0,1487.0,0,3,https://kickbase.b-cdn.net/content/file/cf1f2bfa6c0f446ea74d8b75f0585f53.png,7.0,2,313.0,,"[{""hasPlayed"": true, ""points"": 183}, {""hasPlayed"": true, ""points"": 6}, {""hasPlayed"": true, ""points"": 6}, {""hasPlayed"": true, ""points"": 8}, {""hasPlayed"": true, ""points"": 59}]",3,Derry Scherhant,3540.0,7.45
1685,2,Joshua,Kimmich,59676168.0,186.0,29.0,29.0,24.0,151968.0,5391.0,0,3,https://kickbase.b-cdn.net/content/file/e84941ae3809492c84e8f8bad5b3791e.png,6.0,1,90.0,,"[{""hasPlayed"": true, ""points"": 317}, {""hasPlayed"": true, ""points"": 238}, {""hasPlayed"": true, ""points"": 83}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 215}]",1,Joshua Kimmich,27719.0,7.45
2967,8,Soufiane,El-Faouzi,14330832.0,,,,,,,0,3,https://kickbase.b-cdn.net/content/file/08eca83815c745e1b44ccab6f89b6778.png,23.0,1,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",1,Soufiane El-Faouzi,136652.0,7.4
6745,7,Victor,Boniface,4298526.0,43.0,11.0,11.0,2.0,23116.0,468.0,0,4,https://kickbase.b-cdn.net/content/file/f5f3d11be23443cb9e4c8c472288e093.png,22.0,2,108.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",5,Victor Boniface,-44497.0,7.6
