id,teamId,firstName,lastName,marketValue,averagePoints,games,gamesPlayed,start11,totalPlaytimeS,totalPoints,status,position,playerImage,number,trend,pointsPerValue,pointsStdDev,history,startProbability,name,marketChangeToday,marketChange.today,marketChange.yesterday,marketChange.twoDays,marketChange.sevenDaysAvg,marketChange.thirtyDaysAvg,sofascore_average_rating,expected_match_points,ligainsider_starting_chance,kickbase_starting_chance,kicker_starting_chance,rotowire_starting_chance,questionable_injury_penalty,starting_chance,score_multiplier,score
237,2,Manuel,Neuer,14552983.0,145.0,1.0,1.0,1.0,5767.0,145.0,0,1,https://kickbase.b-cdn.net/content/file/bf993bb6d6914136b11177795c5f77a9.png,1.0,1,9.0,,"[{""hasPlayed"": true, ""points"": 145}]",1,Manuel Neuer,92910.0,92910.0,131517.0,144356.0,718702.0,2317397.0,7.13,2.6086956521739126,1.0,0.0,1.0,1.0,0.0,1.0,9.4739,176.21454
1991,2,Dayot,Upamecano,33398087.0,272.0,1.0,1.0,1.0,5767.0,272.0,0,2,https://kickbase.b-cdn.net/content/file/13835e113e4f40d986f924b517690435.png,2.0,1,8.0,,"[{""hasPlayed"": true, ""points"": 272}]",2,Dayot Upamecano,34235.0,34235.0,35892.0,50670.0,108246.0,659825.0,7.9,2.6086956521739126,1.0,0.0,1.0,1.0,0.0,1.0,9.4739,195.244722
2199,9,Josha,Vagnoman,8301622.0,73.0,1.0,1.0,1.0,5767.0,73.0,0,2,https://kickbase.b-cdn.net/content/file/c0ddab007ad34b48b3efcfa3cb66ef4d.png,4.0,1,8.0,,"[{""hasPlayed"": true, ""points"": 73}]",3,Josha Vagnoman,308497.0,308497.0,328703.0,354832.0,2466120.0,2507205.0,7.3,2.156408094435076,1.0,0.0,1.0,1.0,0.0,1.0,9.4739,149.136041
14241,7,Facundo,Medina,8559759.0,21.0,1.0,1.0,0.0,2499.0,21.0,0,2,https://kickbase.b-cdn.net/content/file/a59d86f8dc644a43babfe89f615d199f.png,2.0,2,2.0,,"[{""hasPlayed"": true, ""points"": 21}]",3,Facundo Medina,-115280.0,-115280.0,-191168.0,-229459.0,-1864513.0,8559759.0,6.8,2.2116504854368935,0.6896551724137931,0.0,1.0,1.0,0.0,0.8226600985221675,9.4739,117.212691
11956,7,Ezequiél,Fernández,10727689.0,39.0,1.0,1.0,1.0,3394.0,39.0,0,3,https://kickbase.b-cdn.net/content/file/2c37f7daf46f4c9693ffa9ef33ff980b.png,6.0,1,3.0,,"[{""hasPlayed"": true, ""points"": 39}]",3,Ezequiél Fernández,100951.0,100951.0,173044.0,204610.0,1782588.0,6968584.0,6.63,2.2116504854368935,1.0,0.0,1.0,1.0,0.0,1.0,9.4739,138.918095
13442,15,Hugo,Bolin,11456465.0,32.0,1.0,1.0,1.0,5846.0,32.0,0,3,https://kickbase.b-cdn.net/content/file/7f789e6ac2c84d5b878ec36c44b31dc2.png,38.0,1,2.0,,"[{""hasPlayed"": true, ""points"": 32}]",1,Hugo Bolin,98529.0,98529.0,111044.0,128909.0,818070.0,6172557.0,8.05,1.7648105684657243,1.0,0.0,1.0,1.0,0.0,1.0,9.4739,134.593093
11008,43,Ezechiel,Banzuzi,11245732.0,103.0,1.0,1.0,1.0,5074.0,103.0,0,3,https://kickbase.b-cdn.net/content/file/a9c36464a61049d0b9acd73d6c4e9c96.png,6.0,1,9.0,,"[{""hasPlayed"": true, ""points"": 103}]",1,Ezechiel Banzuzi,191689.0,191689.0,210865.0,248273.0,1859135.0,7613135.0,7.2,1.8636721828211191,1.0,0.0,1.0,1.0,0.0,1.0,9.4739,127.124956
6319,15,Franck,Honorat,9095848.0,75.0,1.0,1.0,0.0,1939.0,75.0,0,3,https://kickbase.b-cdn.net/content/file/ba369ac3889a4ce98a51468fb3f7c14b.png,9.0,1,8.0,,"[{""hasPlayed"": true, ""points"": 75}]",3,Franck Honorat,217645.0,217645.0,225400.0,168229.0,415156.0,149948.0,7.1,1.7648105684657243,1.0,0.0,1.0,1.0,0.0,1.0,9.4739,118.709436
4296,9,Dzenan,Pejcinovic,10929287.0,-6.0,1.0,1.0,1.0,3790.0,-6.0,0,4,https://kickbase.b-cdn.net/content/file/dce6b383ea96472faf6e2059c30593a9.png,17.0,1,,4.0,"[{""hasPlayed"": true, ""points"": -6}]",3,Dzenan Pejcinovic,184353.0,184353.0,209826.0,228561.0,2227748.0,8050225.0,7.85,2.156408094435076,1.0,0.0,1.0,1.0,0.0,1.0,9.4739,160.372318
3304,5,Igor,Matanović,20829723.0,291.0,1.0,1.0,1.0,4481.0,291.0,0,4,https://kickbase.b-cdn.net/content/file/6bb42fe3c2da4e1e9f8ad8dc25f1cc85.png,31.0,1,13.0,,"[{""hasPlayed"": true, ""points"": 291}]",1,Igor Matanović,184401.0,184401.0,203744.0,239631.0,1148539.0,4880222.0,8.18,1.705678495361178,1.0,0.0,1.0,1.0,0.0,1.0,9.4739,132.184117
10113,43,Tidiam,Gomis,8176061.0,176.0,1.0,1.0,1.0,3942.0,176.0,0,4,https://kickbase.b-cdn.net/content/file/6fdc632f20f64bac905749a9c2b23a86.png,27.0,1,21.0,,"[{""hasPlayed"": true, ""points"": 176}]",3,Tidiam Gomis,361854.0,361854.0,395255.0,403990.0,2501297.0,3925049.0,6.55,1.8636721828211191,1.0,0.0,1.0,1.0,0.0,1.0,9.4739,115.648397
