id,teamId,firstName,lastName,marketValue,averagePoints,games,gamesPlayed,start11,totalPlaytimeS,totalPoints,status,position,playerImage,number,trend,pointsPerValue,pointsStdDev,history,startProbability,name,marketChangeToday,marketChange.today,marketChange.yesterday,marketChange.twoDays,marketChange.sevenDaysAvg,marketChange.thirtyDaysAvg,sofascore_average_rating,expected_match_points,ligainsider_starting_chance,rotowire_starting_chance,questionable_injury_penalty,starting_chance,score
8227,43,Maarten,Vandevoordt,15446600.0,109.0,12.0,12.0,11.0,69295.0,1313.0,0,1,https://kickbase.b-cdn.net/content/file/cb4de12c99d148feb2f88e1c91186400.png,26.0,1,85.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 77}, {""hasPlayed"": true, ""points"": 87}, {""hasPlayed"": true, ""points"": 96}, {""hasPlayed"": true, ""points"": 135}]",2,Maarten Vandevoordt,146901.0,146901.0,143407.0,136866.0,1019021.0,4246194.0,6.8,2.0684447930966856,1.0,1.0,0.0,1.0,14.065425
1246,43,Willi,Orban,31081756.0,131.0,33.0,33.0,33.0,193712.0,4323.0,0,2,https://kickbase.b-cdn.net/content/file/bda722458bd445d5ba24094a5306031d.png,4.0,1,139.0,,"[{""hasPlayed"": true, ""points"": 110}, {""hasPlayed"": true, ""points"": 313}, {""hasPlayed"": true, ""points"": 82}, {""hasPlayed"": true, ""points"": 131}, {""hasPlayed"": false, ""points"": null}]",2,Willi Orban,67534.0,67534.0,63147.0,61764.0,439668.0,1798893.0,6.95,2.0684447930966856,1.0,1.0,0.0,1.0,14.375691
2783,7,Edmond,Tapsoba,32271165.0,136.0,29.0,29.0,29.0,171644.0,3941.0,0,2,https://kickbase.b-cdn.net/content/file/21031db97a054165806a98d2f0c0d73b.png,12.0,1,122.0,,"[{""hasPlayed"": true, ""points"": 111}, {""hasPlayed"": true, ""points"": 6}, {""hasPlayed"": true, ""points"": 135}, {""hasPlayed"": true, ""points"": 93}, {""hasPlayed"": true, ""points"": 194}]",1,Edmond Tapsoba,67451.0,67451.0,70016.0,58844.0,442065.0,1825750.0,7.0,2.040910253132191,1.0,1.0,0.0,1.0,14.286372
2736,3,Ramy,Bensebaini,20748993.0,128.0,21.0,21.0,15.0,102687.0,2683.0,0,2,https://kickbase.b-cdn.net/content/file/f52b92d109bf4f53b2fb20e5c50f00ec.png,5.0,1,129.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 364}, {""hasPlayed"": true, ""points"": 106}]",1,Ramy Bensebaini,209041.0,209041.0,194941.0,173674.0,1306023.0,4499529.0,6.65,2.3519386450788238,1.0,0.0,0.0,0.7,10.948274
2084,5,Philipp,Lienhart,12347710.0,69.0,20.0,20.0,14.0,86712.0,1379.0,0,2,https://kickbase.b-cdn.net/content/file/d376962d93d8467e844287f0c416eea0.png,3.0,1,111.0,,"[{""hasPlayed"": true, ""points"": 80}, {""hasPlayed"": true, ""points"": 25}, {""hasPlayed"": true, ""points"": 152}, {""hasPlayed"": true, ""points"": 2}, {""hasPlayed"": true, ""points"": 15}]",2,Philipp Lienhart,163464.0,163464.0,168895.0,159504.0,1105558.0,5430608.0,6.5,1.6764168190127973,1.0,1.0,0.0,1.0,10.896709
6209,5,Philipp,Treu,11162008.0,52.0,28.0,28.0,24.0,144527.0,1454.0,0,2,https://kickbase.b-cdn.net/content/file/67a522fecea248ff84c7dec1c95739dc.png,29.0,1,130.0,,"[{""hasPlayed"": true, ""points"": 47}, {""hasPlayed"": true, ""points"": 22}, {""hasPlayed"": true, ""points"": 60}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",1,Philipp Treu,102471.0,102471.0,88318.0,75813.0,622313.0,5077888.0,6.4,1.6764168190127973,1.0,1.0,0.0,1.0,10.729068
1685,2,Joshua,Kimmich,59703646.0,186.0,29.0,29.0,24.0,151968.0,5391.0,0,3,https://kickbase.b-cdn.net/content/file/e84941ae3809492c84e8f8bad5b3791e.png,6.0,1,90.0,,"[{""hasPlayed"": true, ""points"": 317}, {""hasPlayed"": true, ""points"": 238}, {""hasPlayed"": true, ""points"": 83}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 215}]",1,Joshua Kimmich,27478.0,27478.0,27719.0,27156.0,200453.0,831025.0,7.45,2.382104545335327,1.0,1.0,0.0,1.0,17.746679
2125,5,Jan-Niklas,Beste,10911193.0,60.0,28.0,28.0,20.0,111405.0,1693.0,0,3,https://kickbase.b-cdn.net/content/file/0dc9e619fd4c4114a58d41e7b6293ac2.png,19.0,1,155.0,,"[{""hasPlayed"": true, ""points"": 150}, {""hasPlayed"": true, ""points"": 2}, {""hasPlayed"": true, ""points"": 63}, {""hasPlayed"": true, ""points"": 0}, {""hasPlayed"": true, ""points"": 55}]",1,Jan-Niklas Beste,155265.0,155265.0,149930.0,130783.0,1168145.0,4786788.0,6.55,1.6764168190127973,1.0,1.0,0.0,1.0,10.98053
11162,14,Leon,Avdullahu,15408363.0,85.0,33.0,33.0,32.0,187386.0,2805.0,0,3,https://kickbase.b-cdn.net/content/file/d0a6a4d4e08b4c8fa7b4c27fdb09c212.png,7.0,1,182.0,,"[{""hasPlayed"": true, ""points"": -32}, {""hasPlayed"": true, ""points"": 246}, {""hasPlayed"": true, ""points"": 93}, {""hasPlayed"": true, ""points"": 89}, {""hasPlayed"": true, ""points"": 88}]",1,Leon Avdullahu,181440.0,181440.0,173586.0,163312.0,1188772.0,4324939.0,6.65,1.526315789473684,1.0,1.0,0.0,1.0,10.15
11100,3,Samuele,Inácio,9447071.0,52.0,7.0,7.0,4.0,25406.0,365.0,0,3,https://kickbase.b-cdn.net/content/file/0e8e34d536e6420cb5d7d96fc909f97d.png,40.0,2,38.0,,"[{""hasPlayed"": true, ""points"": 136}, {""hasPlayed"": true, ""points"": 119}, {""hasPlayed"": true, ""points"": 27}, {""hasPlayed"": true, ""points"": 88}, {""hasPlayed"": true, ""points"": -12}]",3,Samuele Inácio,-28195.0,-28195.0,-74043.0,-115737.0,-929007.0,-1787648.0,7.0,2.3519386450788238,0.3333333333333333,1.0,0.0,0.5333333333333333,8.780571
