id,teamId,firstName,lastName,marketValue,averagePoints,games,gamesPlayed,start11,totalPlaytimeS,totalPoints,status,position,playerImage,number,trend,pointsPerValue,pointsStdDev,history,startProbability,name,marketChangeToday,marketChange.today,marketChange.yesterday,marketChange.twoDays,marketChange.sevenDaysAvg,marketChange.thirtyDaysAvg,sofascore_average_rating,expected_match_points,ligainsider_starting_chance,kickbase_starting_chance,rotowire_starting_chance,questionable_injury_penalty,starting_chance,score
8227,43,Maarten,Vandevoordt,16440159.0,109.0,12.0,12.0,11.0,69295.0,1313.0,0,1,https://kickbase.b-cdn.net/content/file/1aa808600ddb4c5b9883e7caedba5966.png,26.0,1,79.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 77}, {""hasPlayed"": true, ""points"": 87}, {""hasPlayed"": true, ""points"": 96}, {""hasPlayed"": true, ""points"": 135}]",1,Maarten Vandevoordt,116643.0,116643.0,131229.0,133397.0,993559.0,4597617.0,7.03,2.097664543524416,1.0,1.0,1.0,0.0,1.0,14.746582
173,2,Jonathan,Tah,37034151.0,127.0,28.0,28.0,23.0,135209.0,3559.0,0,2,https://kickbase.b-cdn.net/content/file/cd9c5cb89a074d1ea56f7d952e5074e4.png,4.0,1,96.0,,"[{""hasPlayed"": true, ""points"": 146}, {""hasPlayed"": true, ""points"": 53}, {""hasPlayed"": true, ""points"": 84}, {""hasPlayed"": true, ""points"": 59}, {""hasPlayed"": false, ""points"": null}]",1,Jonathan Tah,2336.0,2336.0,5474.0,10622.0,192144.0,1626924.0,6.94,2.382104545335327,1.0,1.0,1.0,0.0,1.0,16.531806
1704,3,Waldemar,Anton,34065334.0,126.0,32.0,32.0,32.0,190794.0,4034.0,0,2,https://kickbase.b-cdn.net/content/file/5cbbbb34725b43dba3f7f4f6835b98f0.png,3.0,1,118.0,,"[{""hasPlayed"": true, ""points"": 156}, {""hasPlayed"": true, ""points"": 123}, {""hasPlayed"": true, ""points"": 40}, {""hasPlayed"": true, ""points"": 153}, {""hasPlayed"": true, ""points"": 133}]",1,Waldemar Anton,23629.0,23629.0,28474.0,33240.0,274482.0,1839566.0,6.9,2.3519386450788238,1.0,1.0,1.0,0.0,1.0,16.228377
10115,3,Daniel,Svensson,16631107.0,82.0,33.0,33.0,27.0,162894.0,2705.0,0,2,https://kickbase.b-cdn.net/content/file/da063055c5d14c798dd8d7427fb2a48f.png,24.0,2,162.0,,"[{""hasPlayed"": true, ""points"": 151}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": -11}, {""hasPlayed"": true, ""points"": 27}, {""hasPlayed"": true, ""points"": 34}]",3,Daniel Svensson,-104336.0,-104336.0,-178990.0,-378731.0,-1699875.0,-1932221.0,6.95,2.3519386450788238,1.0,0.6896551724137931,1.0,0.0,0.8836206896551724,14.44364
3759,7,Miguel,Gutiérrez,20722294.0,,,,,,,0,2,https://kickbase.b-cdn.net/content/file/86a6415d0ab240d780a37de359f3d327.png,3.0,1,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",1,Miguel Gutiérrez,169235.0,169235.0,167272.0,162520.0,1198179.0,20722294.0,6.75,2.040910253132191,1.0,1.0,1.0,0.0,1.0,13.776144
1685,2,Joshua,Kimmich,59848908.0,186.0,29.0,29.0,24.0,151968.0,5391.0,0,3,https://kickbase.b-cdn.net/content/file/b41a70e2188a4c72aa165cfc7606c3e9.png,6.0,1,90.0,,"[{""hasPlayed"": true, ""points"": 317}, {""hasPlayed"": true, ""points"": 238}, {""hasPlayed"": true, ""points"": 83}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 215}]",1,Joshua Kimmich,15371.0,15371.0,16698.0,18958.0,145262.0,832489.0,7.4,2.382104545335327,1.0,1.0,1.0,0.0,1.0,17.627574
8307,18,Kaishu,Sano,16097155.0,83.0,34.0,34.0,34.0,203515.0,2817.0,0,3,https://kickbase.b-cdn.net/content/file/5d056e6175064f30b16047761d382a84.png,6.0,1,174.0,,"[{""hasPlayed"": true, ""points"": 115}, {""hasPlayed"": true, ""points"": 55}, {""hasPlayed"": true, ""points"": 88}, {""hasPlayed"": true, ""points"": 149}, {""hasPlayed"": true, ""points"": 90}]",1,Kaishu Sano,151515.0,151515.0,153266.0,166542.0,1209726.0,4117899.0,7.4,1.9802807486631018,1.0,1.0,1.0,0.0,1.0,14.654078
6176,43,Nicolas,Seiwald,17714975.0,86.0,33.0,33.0,31.0,174575.0,2839.0,0,3,https://kickbase.b-cdn.net/content/file/5320dfb79fb348369e61599e552840b0.png,13.0,1,160.0,,"[{""hasPlayed"": true, ""points"": 44}, {""hasPlayed"": true, ""points"": 20}, {""hasPlayed"": true, ""points"": 60}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 115}]",1,Nicolas Seiwald,137375.0,137375.0,129121.0,129352.0,1062795.0,4890341.0,6.93,2.097664543524416,1.0,1.0,1.0,0.0,1.0,14.536815
2476,18,Jae-Sung,Lee,11268142.0,65.0,28.0,28.0,26.0,141332.0,1824.0,0,3,https://kickbase.b-cdn.net/content/file/4958ca742c82430a89447e10efb492a9.png,7.0,1,161.0,,"[{""hasPlayed"": true, ""points"": 43}, {""hasPlayed"": true, ""points"": -22}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",1,Jae-Sung Lee,179661.0,179661.0,175756.0,177547.0,1468438.0,5088882.0,6.7,1.9802807486631018,1.0,1.0,1.0,0.0,1.0,13.267881
2646,18,Sheraldo,Becker,14656968.0,76.0,14.0,14.0,11.0,61084.0,1065.0,0,4,https://kickbase.b-cdn.net/content/file/e279d94dff1f46ea8a7f16ea6656528c.png,23.0,1,72.0,,"[{""hasPlayed"": true, ""points"": 115}, {""hasPlayed"": true, ""points"": 114}, {""hasPlayed"": true, ""points"": 120}, {""hasPlayed"": true, ""points"": 136}, {""hasPlayed"": true, ""points"": 20}]",2,Sheraldo Becker,146998.0,146998.0,144072.0,150914.0,1168168.0,4533463.0,6.8,1.9802807486631018,1.0,1.0,1.0,0.0,1.0,13.465909
10113,43,Tidiam,Gomis,4639901.0,23.0,18.0,18.0,2.0,25742.0,405.0,0,4,https://kickbase.b-cdn.net/content/file/6fdc632f20f64bac905749a9c2b23a86.png,27.0,1,87.0,,"[{""hasPlayed"": true, ""points"": -18}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 58}, {""hasPlayed"": false, ""points"": null}]",3,Tidiam Gomis,304573.0,304573.0,180176.0,69949.0,302482.0,2953977.0,6.57,2.097664543524416,0.8113590263691683,0.6896551724137931,1.0,0.0,0.7893002028397567,10.877864
