id,teamId,firstName,lastName,marketValue,averagePoints,games,gamesPlayed,start11,totalPlaytimeS,totalPoints,status,position,playerImage,number,trend,pointsPerValue,pointsStdDev,history,startProbability,name,marketChangeToday,marketChange.today,marketChange.yesterday,marketChange.twoDays,marketChange.sevenDaysAvg,marketChange.thirtyDaysAvg,sofascore_average_rating,expected_match_points,ligainsider_starting_chance,rotowire_starting_chance,questionable_injury_penalty,starting_chance,score
237,2,Manuel,Neuer,12860372.0,95.0,22.0,22.0,22.0,124205.0,2083.0,0,1,https://kickbase.b-cdn.net/content/file/aadd45c3d6354126886481e0a33a3c1f.png,1.0,1,161.0,,"[{""hasPlayed"": true, ""points"": 45}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",2,Manuel Neuer,98835.0,98835.0,70077.0,55823.0,407561.0,1329241.0,6.3,2.382104545335327,1.0,1.0,0.0,1.0,15.007259
10115,3,Daniel,Svensson,18330982.0,82.0,33.0,33.0,27.0,162894.0,2705.0,0,2,https://kickbase.b-cdn.net/content/file/9ff6af44ccf14bb3846cafc261f362ad.png,24.0,2,147.0,,"[{""hasPlayed"": true, ""points"": 151}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": -11}, {""hasPlayed"": true, ""points"": 27}, {""hasPlayed"": true, ""points"": 34}]",3,Daniel Svensson,-191162.0,-191162.0,-262896.0,-379228.0,-1661388.0,52862.0,6.78,2.3519386450788238,1.0,1.0,0.0,1.0,15.946144
2232,18,Philipp,Mwene,7557196.0,49.0,29.0,29.0,24.0,136771.0,1428.0,0,2,https://kickbase.b-cdn.net/content/file/275de3be8348462b85588eaa3c89e4b3.png,2.0,2,188.0,,"[{""hasPlayed"": true, ""points"": 181}, {""hasPlayed"": true, ""points"": 41}, {""hasPlayed"": true, ""points"": 233}, {""hasPlayed"": true, ""points"": 16}, {""hasPlayed"": true, ""points"": 57}]",2,Philipp Mwene,-208838.0,-208838.0,-293966.0,-266218.0,-473159.0,3085749.0,7.3,1.933080138962492,1.0,1.0,0.0,1.0,14.111485
2006,18,Stefan,Posch,9561639.0,90.0,16.0,16.0,16.0,93180.0,1446.0,0,2,https://kickbase.b-cdn.net/content/file/61c45113d8144342ae187dd599d3eff5.png,0.0,1,151.0,,"[{""hasPlayed"": true, ""points"": 97}, {""hasPlayed"": true, ""points"": 63}, {""hasPlayed"": true, ""points"": 121}, {""hasPlayed"": true, ""points"": 53}, {""hasPlayed"": true, ""points"": 154}]",2,Stefan Posch,372719.0,372719.0,350150.0,280200.0,1212866.0,1212866.0,6.86,1.933080138962492,1.0,1.0,0.0,1.0,13.26093
3470,18,Anthony,Caci,9035588.0,54.0,10.0,10.0,6.0,35021.0,535.0,0,2,https://kickbase.b-cdn.net/content/file/5bb349b2622049a7aa73a59edcec1781.png,19.0,1,59.0,,"[{""hasPlayed"": true, ""points"": 28}, {""hasPlayed"": true, ""points"": 56}, {""hasPlayed"": true, ""points"": 25}, {""hasPlayed"": true, ""points"": -1}, {""hasPlayed"": true, ""points"": 112}]",2,Anthony Caci,336453.0,336453.0,312183.0,319447.0,2110928.0,4891575.0,6.78,1.933080138962492,1.0,1.0,0.0,1.0,13.106283
8329,2,Michael,Olise,64621231.0,225.0,32.0,32.0,23.0,154488.0,7185.0,0,3,https://kickbase.b-cdn.net/content/file/42c4a07d3d9a4dd0a7a4d68a1e5b5fee.png,17.0,1,111.0,,"[{""hasPlayed"": true, ""points"": 81}, {""hasPlayed"": true, ""points"": 334}, {""hasPlayed"": true, ""points"": 290}, {""hasPlayed"": true, ""points"": 166}, {""hasPlayed"": true, ""points"": 152}]",1,Michael Olise,33005.0,33005.0,34321.0,35915.0,239891.0,1079005.0,8.34,2.382104545335327,1.0,1.0,0.0,1.0,19.866752
4199,7,Aleix,García,38207285.0,142.0,33.0,33.0,31.0,175200.0,4684.0,0,3,https://kickbase.b-cdn.net/content/file/3de0ab19c54f4523a5bf21f686259db0.png,24.0,1,122.0,,"[{""hasPlayed"": true, ""points"": 229}, {""hasPlayed"": true, ""points"": 121}, {""hasPlayed"": true, ""points"": 214}, {""hasPlayed"": true, ""points"": 93}, {""hasPlayed"": true, ""points"": 181}]",1,Aleix García,112617.0,112617.0,114866.0,111423.0,778335.0,2869773.0,7.94,2.040910253132191,1.0,1.0,0.0,1.0,16.204827
3069,3,Felix,Nmecha,26352498.0,94.0,29.0,29.0,25.0,141393.0,2730.0,0,3,https://kickbase.b-cdn.net/content/file/510ad66f94f943fb940c1a7b11792266.png,8.0,1,103.0,,"[{""hasPlayed"": true, ""points"": 126}, {""hasPlayed"": true, ""points"": 14}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",1,Felix Nmecha,124984.0,124984.0,132133.0,130844.0,889822.0,5833149.0,6.8,2.3519386450788238,1.0,1.0,0.0,1.0,15.993183
4596,43,Brajan,Gruda,17763317.0,98.0,13.0,13.0,8.0,49007.0,1270.0,0,3,https://kickbase.b-cdn.net/content/file/f1dd66425b59403ab0f2796e4ad0b0f8.png,10.0,1,71.0,,"[{""hasPlayed"": true, ""points"": 28}, {""hasPlayed"": true, ""points"": 68}, {""hasPlayed"": true, ""points"": 89}, {""hasPlayed"": true, ""points"": 24}, {""hasPlayed"": true, ""points"": 48}]",1,Brajan Gruda,269114.0,269114.0,251568.0,252482.0,1735796.0,6559912.0,6.9,2.0684447930966856,1.0,1.0,0.0,1.0,14.272269
6176,43,Nicolas,Seiwald,16652180.0,86.0,33.0,33.0,31.0,174575.0,2839.0,0,3,https://kickbase.b-cdn.net/content/file/49894e11778042f09b92bdbd82994680.png,13.0,1,170.0,,"[{""hasPlayed"": true, ""points"": 44}, {""hasPlayed"": true, ""points"": 20}, {""hasPlayed"": true, ""points"": 60}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 115}]",1,Nicolas Seiwald,179063.0,179063.0,180701.0,163132.0,1205676.0,4436659.0,6.75,2.0684447930966856,1.0,1.0,0.0,1.0,13.962002
