id,teamId,firstName,lastName,marketValue,averagePoints,games,gamesPlayed,start11,totalPlaytimeS,totalPoints,status,position,playerImage,number,trend,pointsPerValue,pointsStdDev,history,startProbability,name,marketChangeToday,score
3019,5,Noah,Atubolu,8076955.0,97.0,34.0,34.0,34.0,203699.0,3299.0,0,1,https://kickbase.b-cdn.net/content/file/7e82d7704f244cccb027dc6c519dc149.png,1.0,2,408.0,,"[{""hasPlayed"": true, ""points"": 118}, {""hasPlayed"": true, ""points"": 51}, {""hasPlayed"": true, ""points"": 64}, {""hasPlayed"": true, ""points"": 23}, {""hasPlayed"": true, ""points"": 94}]",5,Noah Atubolu,-256672.0,25000000
2383,3,Nico,Schlotterbeck,29634417.0,148.0,28.0,28.0,28.0,166561.0,4142.0,1,2,https://kickbase.b-cdn.net/content/file/531ad1f9d6804b9db55d5aace6d79888.png,4.0,2,139.0,,"[{""hasPlayed"": true, ""points"": 142}, {""hasPlayed"": true, ""points"": 250}, {""hasPlayed"": true, ""points"": 72}, {""hasPlayed"": true, ""points"": 146}, {""hasPlayed"": true, ""points"": 67}]",5,Nico Schlotterbeck,-667761.0,55000000
7224,43,Lukeba,Castello Jr.,19197077.0,106.0,26.0,26.0,24.0,142996.0,2765.0,0,2,https://kickbase.b-cdn.net/content/file/02c2d826957a4899a614c0ad25d8a9a8.png,23.0,2,144.0,,"[{""hasPlayed"": true, ""points"": 66}, {""hasPlayed"": true, ""points"": 116}, {""hasPlayed"": true, ""points"": 28}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",3,Lukeba Castello Jr.,-295890.0,50000000
10497,10,Abdoul-Karim,Coulibaly,5662748.0,52.0,27.0,27.0,24.0,139820.0,1401.0,0,2,https://kickbase.b-cdn.net/content/file/669c7c063fde4203965dc9d45b0516d9.png,31.0,2,247.0,,"[{""hasPlayed"": true, ""points"": 24}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 7}, {""hasPlayed"": true, ""points"": 28}, {""hasPlayed"": true, ""points"": 108}]",3,Abdoul-Karim Coulibaly,-256746.0,28000000
8329,2,Michael,Olise,64588226.0,225.0,32.0,32.0,23.0,154488.0,7185.0,0,3,https://kickbase.b-cdn.net/content/file/42c4a07d3d9a4dd0a7a4d68a1e5b5fee.png,17.0,1,111.0,,"[{""hasPlayed"": true, ""points"": 81}, {""hasPlayed"": true, ""points"": 334}, {""hasPlayed"": true, ""points"": 290}, {""hasPlayed"": true, ""points"": 166}, {""hasPlayed"": true, ""points"": 152}]",1,Michael Olise,34321.0,170000000
2804,2,Jamal,Musiala,35254956.0,98.0,15.0,15.0,7.0,45579.0,1476.0,2,3,https://kickbase.b-cdn.net/content/file/0874c227bdbf4d93b915953ecd463f34.png,10.0,1,41.0,,"[{""hasPlayed"": true, ""points"": 36}, {""hasPlayed"": true, ""points"": 100}, {""hasPlayed"": true, ""points"": 42}, {""hasPlayed"": true, ""points"": 198}, {""hasPlayed"": true, ""points"": 125}]",3,Jamal Musiala,38967.0,100000000
6080,2,Aleksandar,Pavlović,31779334.0,119.0,24.0,24.0,16.0,98316.0,2844.0,0,3,https://kickbase.b-cdn.net/content/file/edb0e886b6a545f1b564cd3d24c6e4b3.png,45.0,1,89.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 43}, {""hasPlayed"": true, ""points"": 68}, {""hasPlayed"": false, ""points"": null}]",1,Aleksandar Pavlović,93308.0,90000000
3069,3,Felix,Nmecha,26227514.0,94.0,29.0,29.0,25.0,141393.0,2730.0,0,3,https://kickbase.b-cdn.net/content/file/510ad66f94f943fb940c1a7b11792266.png,8.0,1,104.0,,"[{""hasPlayed"": true, ""points"": 126}, {""hasPlayed"": true, ""points"": 14}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",1,Felix Nmecha,132133.0,55000000
8307,18,Kaishu,Sano,14695725.0,83.0,34.0,34.0,34.0,203515.0,2817.0,0,3,https://kickbase.b-cdn.net/content/file/5d056e6175064f30b16047761d382a84.png,6.0,1,191.0,,"[{""hasPlayed"": true, ""points"": 115}, {""hasPlayed"": true, ""points"": 55}, {""hasPlayed"": true, ""points"": 88}, {""hasPlayed"": true, ""points"": 149}, {""hasPlayed"": true, ""points"": 90}]",2,Kaishu Sano,177198.0,50000000
11957,7,Eliesse,Ben Seghir,1740043.0,35.0,10.0,10.0,2.0,18106.0,354.0,1,3,https://kickbase.b-cdn.net/content/file/83c0ccd07e1e42d0ac339779564cd1f4.png,17.0,2,203.0,,"[{""hasPlayed"": true, ""points"": 48}, {""hasPlayed"": true, ""points"": -8}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 17}, {""hasPlayed"": false, ""points"": null}]",5,Eliesse Ben Seghir,-126219.0,20000000
11513,7,Christian,Kofane,11253407.0,58.0,29.0,29.0,12.0,85285.0,1677.0,0,4,https://kickbase.b-cdn.net/content/file/ce8356c51b154a87a40a56f723f2e3e3.png,35.0,2,149.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 76}, {""hasPlayed"": true, ""points"": 17}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 16}]",3,Christian Kofane,-97827.0,40000000
