id,teamId,firstName,lastName,marketValue,averagePoints,games,gamesPlayed,start11,totalPlaytimeS,totalPoints,status,position,playerImage,number,trend,pointsPerValue,pointsStdDev,history,startProbability,name,marketChangeToday,score
3019,5,Noah,Atubolu,8076955.0,97.0,34.0,34.0,34.0,203699.0,3299.0,0,1,https://kickbase.b-cdn.net/content/file/7e82d7704f244cccb027dc6c519dc149.png,1.0,2,408.0,,"[{""hasPlayed"": true, ""points"": 118}, {""hasPlayed"": true, ""points"": 51}, {""hasPlayed"": true, ""points"": 64}, {""hasPlayed"": true, ""points"": 23}, {""hasPlayed"": true, ""points"": 94}]",5,Noah Atubolu,-256672.0,100.0
10497,10,Abdoul-Karim,Coulibaly,5662748.0,52.0,27.0,27.0,24.0,139820.0,1401.0,0,2,https://kickbase.b-cdn.net/content/file/669c7c063fde4203965dc9d45b0516d9.png,31.0,2,247.0,,"[{""hasPlayed"": true, ""points"": 24}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 7}, {""hasPlayed"": true, ""points"": 28}, {""hasPlayed"": true, ""points"": 108}]",3,Abdoul-Karim Coulibaly,-256746.0,100.0
9642,13,Chrislain,Matsima,11052053.0,82.0,18.0,18.0,17.0,99447.0,1473.0,0,2,https://kickbase.b-cdn.net/content/file/f6167b1bcb474dc480050b0cd2788796.png,5.0,1,133.0,,"[{""hasPlayed"": true, ""points"": 9}, {""hasPlayed"": true, ""points"": 82}, {""hasPlayed"": true, ""points"": 65}, {""hasPlayed"": true, ""points"": 2}, {""hasPlayed"": false, ""points"": null}]",2,Chrislain Matsima,184808.0,100.0
7723,40,Leopold,Querfeld,13830584.0,90.0,31.0,31.0,30.0,181108.0,2789.0,0,2,https://kickbase.b-cdn.net/content/file/b9dfbb26ed9347b9a1585f29718c9d76.png,14.0,1,201.0,,"[{""hasPlayed"": true, ""points"": 53}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 38}, {""hasPlayed"": true, ""points"": 90}]",3,Leopold Querfeld,152328.0,100.0
8367,6,Albert,Sambi Lokonga,10548328.0,68.0,26.0,26.0,20.0,112966.0,1759.0,0,3,https://kickbase.b-cdn.net/content/file/c9c716c7e03d47078ca74b707b1577a9.png,6.0,1,166.0,,"[{""hasPlayed"": true, ""points"": 120}, {""hasPlayed"": true, ""points"": 57}, {""hasPlayed"": true, ""points"": 79}, {""hasPlayed"": true, ""points"": -11}, {""hasPlayed"": false, ""points"": null}]",1,Albert Sambi Lokonga,19549.0,100.0
7463,77,Francis,Onyeka,9736951.0,,,,,,,0,3,https://kickbase.b-cdn.net/content/file/11587a7513ab411c822f947b686e8e48.png,40.0,2,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",3,Francis Onyeka,-505470.0,100.0
8307,18,Kaishu,Sano,14695725.0,83.0,34.0,34.0,34.0,203515.0,2817.0,0,3,https://kickbase.b-cdn.net/content/file/5d056e6175064f30b16047761d382a84.png,6.0,1,191.0,,"[{""hasPlayed"": true, ""points"": 115}, {""hasPlayed"": true, ""points"": 55}, {""hasPlayed"": true, ""points"": 88}, {""hasPlayed"": true, ""points"": 149}, {""hasPlayed"": true, ""points"": 90}]",2,Kaishu Sano,177198.0,100.0
8292,29,Santiago,Castañeda,10064333.0,,,,,,,0,3,https://kickbase.b-cdn.net/content/file/37ddcd7042414ce59c844f52d87ee300.png,5.0,1,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",1,Santiago Castañeda,195815.0,100.0
2967,8,Soufiane,El-Faouzi,14330832.0,,,,,,,0,3,https://kickbase.b-cdn.net/content/file/08eca83815c745e1b44ccab6f89b6778.png,23.0,1,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",1,Soufiane El-Faouzi,136652.0,100.0
11748,15,Wael,Mohya,10082151.0,34.0,15.0,15.0,6.0,36598.0,507.0,2,3,https://kickbase.b-cdn.net/content/file/7ba41b6d32924b2ca84a50a41d5e45a1.png,36.0,1,50.0,,"[{""hasPlayed"": true, ""points"": 87}, {""hasPlayed"": true, ""points"": 24}, {""hasPlayed"": true, ""points"": 46}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",2,Wael Mohya,216081.0,100.0
3158,14,Fisnik,Asllani,26917653.0,90.0,33.0,33.0,31.0,150494.0,2966.0,0,4,https://kickbase.b-cdn.net/content/file/61214fe54f31411ea068f8fb8b3c1e49.png,11.0,1,110.0,,"[{""hasPlayed"": true, ""points"": 42}, {""hasPlayed"": true, ""points"": 83}, {""hasPlayed"": true, ""points"": 91}, {""hasPlayed"": true, ""points"": 151}, {""hasPlayed"": true, ""points"": 57}]",3,Fisnik Asllani,55501.0,100.0
