team,team_id,season_label,season_id,matchday_at_capture,capture_timestamp,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPassesAgainst,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOppositionHalfPassesAgainst,accurateOppositionHalfPassesPercentage,accurateOwnHalfPasses,accurateOwnHalfPassesAgainst,accurateOwnHalfPassesPercentage,accuratePasses,accuratePassesAgainst,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,assists,averageBallPossession,avgRating,ballRecovery,bigChances,bigChancesAgainst,bigChancesCreated,bigChancesCreatedAgainst,bigChancesMissed,bigChancesMissedAgainst,blockedScoringAttempt,blockedScoringAttemptAgainst,cleanSheets,clearances,clearancesAgainst,clearancesOffLine,corners,cornersAgainst,crossesSuccessfulAgainst,crossesTotalAgainst,dribbleAttempts,dribbleAttemptsTotalAgainst,dribbleAttemptsWonAgainst,duelsWon,duelsWonPercentage,errorsLeadingToGoal,errorsLeadingToGoalAgainst,errorsLeadingToShot,errorsLeadingToShotAgainst,fastBreakGoals,fastBreakShots,fastBreaks,fouls,freeKickGoals,freeKickShots,freeKicks,goalKicks,goalsConceded,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsScored,groundDuelsWon,groundDuelsWonPercentage,headedGoals,hitWoodwork,hitWoodworkAgainst,interceptions,interceptionsAgainst,keyPassesAgainst,kilometersCovered,lastManTackles,leftFootGoals,longBallsSuccessfulAgainst,longBallsTotalAgainst,matches,numberOfSprints,offsides,offsidesAgainst,oppositionHalfPassesTotalAgainst,ownGoals,ownHalfPassesTotalAgainst,penaltiesCommited,penaltiesTaken,penaltyGoals,penaltyGoalsConceded,possessionLost,redCards,redCardsAgainst,rightFootGoals,saves,shots,shotsAgainst,shotsBlockedAgainst,shotsFromInsideTheBox,shotsFromInsideTheBoxAgainst,shotsFromOutsideTheBox,shotsFromOutsideTheBoxAgainst,shotsOffTarget,shotsOffTargetAgainst,shotsOnTarget,shotsOnTargetAgainst,successfulDribbles,tackles,tacklesAgainst,throwIns,totalAerialDuels,totalCrosses,totalDuels,totalFinalThirdPassesAgainst,totalGroundDuels,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalPassesAgainst,yellowCards,yellowCardsAgainst,yellowRedCards
FC Bayern München,2672,previous_season,77333,1,2026-08-17T17:38:08+00:00,115,21.217712177122,1755,721,65.13098464318,13106,3384,87.900737759893,8391,5383,94.069506726457,21497,8767,90.209819555183,329,51.486697965571,91,67.441176470588,7.1243761996161,1774,166,71,132,54,92,47,167,105,12,578,998,3,216,120,105,422,673,455,227,1376,48.604733309785,11,18,21,28,12,50,61,299,2,16,291,206,36,101,18,122,1047,47.764598540146,13,25,13,286,349,266,3722.94,9,39,701,1724,34,6062,83,63,5037,0,6190,3,12,11,2,4120,2,4,67,69,652,360,105,441,244,211,116,196,149,289,106,324,435,643,639,639,542,2831,2767,2192,1107,14910,8920,23830,11227,57,51,1
VfB Stuttgart,2677,previous_season,77333,1,2026-08-17T17:38:09+00:00,177,25.991189427313,2364,494,47.961165048544,8139,4543,79.065475034,6646,5423,91.140976412507,14785,9966,84.072557716365,622,54.323144104803,56,57.647058823529,6.9356589147287,1622,109,83,87,56,66,50,130,112,11,870,939,5,193,145,126,516,383,398,161,1707,54.44976076555,7,10,20,19,5,33,40,327,0,11,401,218,49,60,10,71,1085,54.522613065327,6,5,12,280,344,303,3568.09,7,21,829,2057,34,5202,69,57,6658,1,6208,10,7,5,9,4459,2,3,43,110,517,431,113,339,304,178,127,180,157,207,162,208,485,439,619,1145,681,3135,3650,1990,1030,10294,7292,17586,12866,63,53,0
1. FC Köln,2671,previous_season,77333,1,2026-08-17T17:38:10+00:00,175,27.301092043682,3130,439,40.837209302326,5192,6415,72.131147540984,6061,6685,90.652108884236,11253,13100,81.050129645635,610,51.56382079459,33,47.088235294118,6.7787709497207,1458,86,94,66,68,59,54,132,131,3,1005,980,3,157,188,188,666,409,436,205,1593,51.008645533141,4,8,14,21,10,54,59,283,1,10,332,286,63,41,6,49,983,50.670103092784,8,10,11,270,231,338,3729.66,4,14,797,1698,34,5546,60,72,8459,0,7291,7,3,3,5,4339,3,5,25,94,457,463,131,321,321,136,142,166,173,159,159,180,483,489,657,1183,641,3123,4500,1940,1075,7198,6686,13884,15750,63,73,1
TSG Hoffenheim,2569,previous_season,77333,1,2026-08-17T17:38:11+00:00,196,28.571428571429,2309,601,44.717261904762,6478,4525,72.86019570352,6495,5456,90.547887913007,12973,9981,80.758217131474,680,53.333333333333,45,55.235294117647,6.8280392156863,1746,96,83,72,56,54,49,115,111,7,1040,1154,5,197,163,132,603,413,503,234,1683,48.81090487239,6,6,13,17,6,47,52,474,2,15,291,213,52,52,9,65,1003,46.157386102163,13,17,8,273,332,299,3636.76,6,14,901,2163,34,5952,59,63,6705,0,6300,7,6,6,5,4899,3,4,34,97,480,416,111,330,284,150,132,189,154,176,151,193,527,499,738,1275,686,3448,3571,2173,1344,8891,7173,16064,13005,72,55,1
1. FC Union Berlin,2547,previous_season,77333,1,2026-08-17T17:38:12+00:00,200,29.498525073746,3038,615,40.755467196819,3895,7124,60.983247220917,4353,7554,87.392089941779,8248,14678,72.554539057002,782,51.925630810093,28,40.235294117647,6.7378071833648,1593,74,92,47,73,46,61,106,113,7,1079,1156,4,170,164,143,630,363,457,228,1753,48.898186889819,5,8,14,19,6,34,39,417,0,11,326,269,58,37,7,44,971,46.705146705147,9,11,14,289,220,321,3380.26,6,10,770,1868,34,4834,55,45,9326,1,8320,6,5,3,6,4912,3,4,24,93,424,440,114,308,287,116,153,185,177,133,150,154,502,496,699,1506,678,3585,4480,2079,1509,6387,4981,11368,17646,70,63,0
Eintracht Frankfurt,2674,previous_season,77333,1,2026-08-17T17:38:13+00:00,117,22.718446601942,2619,578,48.28738512949,6653,5471,77.270615563298,7584,5869,91.066282420749,14237,11340,84.053607273586,443,45.020325203252,42,54.970588235294,6.7660984848485,1539,86,100,64,81,50,58,117,96,7,875,942,2,159,155,152,590,504,478,216,1531,48.053986189579,12,7,21,14,5,28,32,352,0,10,316,257,65,57,4,61,1088,49.409627611262,7,12,16,317,282,316,3626.67,7,21,769,1659,34,5363,44,85,7422,1,6506,3,6,6,3,4396,4,2,33,100,409,427,96,275,299,134,128,135,165,157,166,243,532,566,680,984,515,3186,3881,2202,1197,8610,8328,16938,13928,58,67,4
1. FSV Mainz 05,2556,previous_season,77333,1,2026-08-17T17:38:13+00:00,173,25.366568914956,3035,570,42.632759910247,4930,6689,67.16621253406,4596,6920,87.293447293447,9526,13609,75.573185243951,699,48.744769874477,26,43.970588235294,6.7865497076023,1623,109,99,78,76,72,65,114,129,4,1037,1209,6,172,156,151,617,388,464,215,1725,49.145299145299,6,6,14,13,5,27,31,374,0,6,326,268,53,43,1,44,1026,49.421965317919,8,20,16,352,288,371,3696.67,6,7,818,1881,34,5676,79,48,8959,2,7716,2,9,8,2,4927,5,1,29,116,411,480,129,313,340,98,140,155,179,142,172,185,522,486,725,1434,682,3510,4513,2076,1337,7340,5265,12605,16675,69,67,1
Borussia Dortmund,2673,previous_season,77333,1,2026-08-17T17:38:16+00:00,173,25.937031484258,2353,601,51.499571550985,7506,4978,78.77007031168,6631,7017,91.588397790055,14137,11995,84.304371161071,518,52.482269503546,51,53.235294117647,6.9554240631164,1694,106,63,78,49,55,43,121,92,15,811,942,0,181,143,149,540,544,417,191,1583,49.717336683417,4,4,23,21,8,36,43,398,0,9,327,233,34,66,3,70,1065,48.475193445608,15,10,10,273,333,291,3725.66,12,16,824,1918,34,6075,40,82,6887,0,7821,5,9,6,5,4504,2,3,38,89,444,362,92,329,247,115,115,160,150,163,120,257,491,569,658,987,667,3184,3516,2197,1167,9529,7240,16769,14708,63,50,0
Hamburger SV,2676,previous_season,77333,1,2026-08-17T17:38:17+00:00,126,23.333333333333,3419,537,45.702127659574,4244,7490,69.391759319817,6468,5801,90.486849468383,10712,13291,80.759951749095,561,51.705069124424,28,45.352941176471,6.7912713472486,1506,62,106,48,76,41,66,104,118,6,1094,824,5,125,199,176,693,480,448,207,1713,51.565322095123,8,5,23,20,10,51,60,402,2,14,416,305,54,36,4,40,1152,51.497541350022,3,16,12,298,268,358,3446.47,5,15,662,1637,34,5109,59,48,9669,0,6315,11,6,4,6,4194,8,3,22,114,418,494,118,274,327,144,167,159,203,155,173,240,510,504,578,1085,540,3322,4873,2237,1175,6116,7148,13264,15984,73,82,5
RB Leipzig,36360,previous_season,77333,1,2026-08-17T17:38:18+00:00,157,27.592267135325,2533,581,48.823529411765,6967,5412,78.581096323032,7522,6405,91.330743079165,14489,11817,84.721085253187,463,48.634453781513,48,53.882352941176,6.9487077534791,1731,124,90,96,78,85,56,144,116,11,908,939,5,180,147,130,560,718,444,208,1679,50.37503750375,6,11,21,19,5,39,44,315,1,11,335,249,47,54,10,66,1216,51.070978580428,9,23,10,294,307,317,3599.82,12,25,801,1779,34,6076,48,74,7475,1,7102,3,3,1,2,4519,0,0,30,84,537,413,117,384,287,153,126,189,162,204,135,374,514,666,625,952,569,3333,3809,2381,1190,8866,8236,17102,14577,52,59,0
Borussia M'gladbach,2527,previous_season,77333,1,2026-08-17T17:38:19+00:00,124,23.709369024857,3758,489,44.535519125683,5178,8025,74.225917431193,7197,6926,89.270652443562,12375,14951,82.291528128741,508,51.73116089613,28,46.705882352941,6.7961315280464,1653,61,77,40,60,33,47,103,117,13,1057,782,2,128,166,154,612,411,499,239,1591,50.395945517897,3,7,16,14,6,24,28,367,1,4,356,254,53,37,3,42,1083,49.793103448276,7,11,14,322,268,377,3595.49,3,11,683,1578,34,5319,64,63,10059,2,7541,5,7,4,5,4273,3,2,22,136,395,483,117,262,302,133,181,151,177,141,189,170,561,510,599,982,523,3157,5141,2175,1098,6976,8062,15038,17600,60,77,0
SC Freiburg,2538,previous_season,77333,1,2026-08-17T17:38:20+00:00,165,27.871621621622,3059,492,47.307692307692,5068,6256,72.327672327672,6168,6233,90.546095126248,11236,12489,81.308343584919,574,49.185946872322,30,48.0,6.775236294896,1512,75,80,51,66,44,51,116,139,6,944,966,2,140,142,171,615,457,390,170,1658,51.251931993818,10,6,22,9,2,20,23,318,1,11,395,245,57,45,4,51,1084,52.417794970986,7,10,8,292,268,359,3752.78,5,8,832,1813,34,5315,67,51,8253,1,6889,1,6,5,0,4349,3,3,34,102,417,471,139,286,302,131,169,158,175,143,157,207,489,525,635,1167,592,3235,4315,2068,1040,7007,6812,13819,15142,50,71,1
SV Werder Bremen,2534,previous_season,77333,1,2026-08-17T17:38:21+00:00,150,24.469820554649,3324,699,47.454175152749,6183,6741,75.319770983067,7277,6227,89.343155310006,13460,12968,82.304023480494,475,51.969365426696,28,51.176470588235,6.7502946954813,1676,58,100,45,80,37,65,132,124,6,952,880,6,155,169,145,612,472,535,258,1560,50.797785737545,8,3,20,24,4,53,57,337,0,13,304,263,60,30,6,37,1085,50.301344459898,6,9,14,318,385,361,3386.59,4,9,791,1764,34,5081,60,46,8873,2,6869,6,4,3,6,4585,5,5,21,113,445,469,124,275,310,170,159,172,169,141,176,207,582,494,692,914,613,3071,4742,2157,1473,8209,8145,16354,15742,73,49,3
Bayer 04 Leverkusen,2681,previous_season,77333,1,2026-08-17T17:38:24+00:00,148,24.104234527687,2950,660,54.771784232365,9626,5729,84.646500175871,8526,5790,92.543145555194,18152,11519,88.180714112218,437,53.227771010962,49,59.176470588235,6.9533460803059,1685,125,86,91,62,77,53,130,102,8,727,853,5,190,140,136,542,530,385,172,1504,52.005532503458,7,12,24,20,13,53,65,292,3,21,358,247,47,58,9,68,1067,51.521004345727,13,15,12,251,335,335,3597.29,11,29,721,1652,34,5194,43,35,7539,1,6429,7,8,7,7,4057,2,5,25,120,516,435,103,333,283,183,152,210,163,176,170,237,478,558,573,821,614,2892,4098,2071,1205,11372,9213,20585,13968,68,84,2
FC Augsburg,2600,previous_season,77333,1,2026-08-17T17:38:24+00:00,148,23.566878980892,3258,501,44.533333333333,5054,7019,70.576735092864,5456,7489,88.456549935149,10510,14508,78.850626453597,503,45.52036199095,27,43.970588235294,6.7722960151803,1622,76,97,54,68,46,55,106,146,5,984,964,5,157,189,171,610,496,515,231,1637,48.99730619575,10,5,13,20,4,47,48,375,0,11,371,305,61,40,5,45,1134,50.715563506261,7,15,15,290,321,371,3698.7,8,17,790,1799,34,5590,72,58,9193,2,8161,7,6,4,6,4627,1,3,21,106,448,503,146,288,349,160,154,185,187,157,170,236,540,524,630,1105,628,3341,4700,2236,1125,7161,6168,13329,17354,81,61,1
