team,team_id,season_label,season_id,matchday_at_capture,capture_timestamp,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPassesAgainst,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOppositionHalfPassesAgainst,accurateOppositionHalfPassesPercentage,accurateOwnHalfPasses,accurateOwnHalfPassesAgainst,accurateOwnHalfPassesPercentage,accuratePasses,accuratePassesAgainst,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,assists,averageBallPossession,avgRating,avgRatingVersion,ballRecovery,bigChances,bigChancesAgainst,bigChancesCreated,bigChancesCreatedAgainst,bigChancesMissed,bigChancesMissedAgainst,blockedScoringAttempt,blockedScoringAttemptAgainst,cleanSheets,clearances,clearancesAgainst,clearancesOffLine,corners,cornersAgainst,crossesSuccessfulAgainst,crossesTotalAgainst,defensiveContributions,dribbleAttempts,dribbleAttemptsTotalAgainst,dribbleAttemptsWonAgainst,duelsWon,duelsWonPercentage,errorsLeadingToGoal,errorsLeadingToGoalAgainst,errorsLeadingToShot,errorsLeadingToShotAgainst,expectedAssists,expectedGoals,expectedGoalsOnTarget,fastBreakGoals,fastBreakShots,fastBreaks,fouls,freeKickGoals,freeKickShots,freeKicks,goalKicks,goalsConceded,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,goalsScored,groundDuelsWon,groundDuelsWonPercentage,headedGoals,hitWoodwork,hitWoodworkAgainst,interceptions,interceptionsAgainst,keyPasses,keyPassesAgainst,kilometersCovered,lastManTackles,leftFootGoals,longBallsSuccessfulAgainst,longBallsTotalAgainst,matches,numberOfSprints,offsides,offsidesAgainst,oppositionHalfPassesTotalAgainst,ownGoals,ownHalfPassesTotalAgainst,penaltiesCommited,penaltiesTaken,penaltyGoals,penaltyGoalsConceded,possessionLost,redCards,redCardsAgainst,rightFootGoals,saves,shots,shotsAgainst,shotsBlockedAgainst,shotsFromInsideTheBox,shotsFromInsideTheBoxAgainst,shotsFromOutsideTheBox,shotsFromOutsideTheBoxAgainst,shotsOffTarget,shotsOffTargetAgainst,shotsOnTarget,shotsOnTargetAgainst,successfulDribbles,tackles,tacklesAgainst,throwIns,totalAerialDuels,totalCrosses,totalDuels,totalFinalThirdPassesAgainst,totalGroundDuels,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalPassesAgainst,touches,yellowCards,yellowCardsAgainst,yellowRedCards
FC Bayern München,2672,previous_season,77333,2,2026-09-04T08:44:10+00:00,115,21.217712177122,1755,721,65.13098464318,13106,3384,87.900737759893,8391,5383,94.069506726457,21497,8767,90.209819555183,329,51.486697965571,91,67.441176470588,7.1243761996161,,1774,166,71,132,54,92,47,167,105,12,578,998,3,216,120,105,422,,673,455,227,1376,48.604733309785,11,18,21,28,,,,12,50,61,299,2,16,291,206,36,101,18,,122,1047,47.764598540146,13,25,13,286,349,,266,3722.94,9,39,701,1724,34,6062,83,63,5037,0,6190,3,12,11,2,4120,2,4,67,69,652,360,105,441,244,211,116,196,149,289,106,324,435,643,639,639,542,2831,2767,2192,1107,14910,8920,23830,11227,,57,51,1
FC Bayern München,2672,current_season,97464,2,2026-09-04T08:44:12+00:00,2,20.0,78,15,51.724137931034,251,148,79.179810725552,197,132,85.281385281385,448,280,81.751824817518,15,50.0,4,59.0,8.43,2.0,50,6,2,6,1,2,2,6,4,0,21,25,0,9,3,2,15,42.0,22,3,2,48,51.063829787234,0,1,0,1,3.72197,4.0585,4.4422,0,1,1,10,0,1,17,4,1,4,0,0.135,5,33,51.5625,1,1,1,11,12,20.0,8,105.77,0,1,17,45,1,138,3,1,222,0,148,0,0,0,0,148,0,0,2,3,21,11,4,14,7,7,4,6,3,9,4,10,6,19,15,30,10,94,119,64,29,317,231,548,370,740.0,1,3,0
VfB Stuttgart,2677,previous_season,77333,2,2026-09-04T08:44:13+00:00,177,25.991189427313,2364,494,47.961165048544,8139,4543,79.065475034,6646,5423,91.140976412507,14785,9966,84.072557716365,622,54.323144104803,56,57.647058823529,6.9356589147287,,1622,109,83,87,56,66,50,130,112,11,870,939,5,193,145,126,516,,383,398,161,1707,54.44976076555,7,10,20,19,,,,5,33,40,327,0,11,401,218,49,60,10,,71,1085,54.522613065327,6,5,12,280,344,,303,3568.09,7,21,829,2057,34,5202,69,57,6658,1,6208,10,7,5,9,4459,2,3,43,110,517,431,113,339,304,178,127,180,157,207,162,208,485,439,619,1145,681,3135,3650,1990,1030,10294,7292,17586,12866,,63,53,0
VfB Stuttgart,2677,current_season,97464,2,2026-09-04T08:44:14+00:00,2,13.333333333333,145,5,38.461538461538,148,251,66.666666666667,132,197,89.189189189189,280,448,75.675675675676,15,50.0,0,41.0,6.26,2.0,44,2,6,1,6,2,2,4,6,0,25,21,0,3,9,2,10,62.0,3,22,10,46,48.936170212766,1,0,1,0,0.690653,0.7875,1.135,0,0,0,17,0,0,10,7,5,1,0,-0.5578,1,31,48.4375,0,1,1,12,11,8.0,19,106.2,0,0,29,61,1,134,1,3,317,1,231,0,0,0,0,132,0,0,1,5,11,21,6,7,14,4,7,3,6,4,9,2,19,6,8,30,15,94,194,64,13,222,148,370,548,552.0,3,1,0
1. FC Köln,2671,previous_season,77333,2,2026-09-04T08:44:14+00:00,175,27.301092043682,3130,439,40.837209302326,5192,6415,72.131147540984,6061,6685,90.652108884236,11253,13100,81.050129645635,610,51.56382079459,33,47.088235294118,6.7787709497207,,1458,86,94,66,68,59,54,132,131,3,1005,980,3,157,188,188,666,,409,436,205,1593,51.008645533141,4,8,14,21,,,,10,54,59,283,1,10,332,286,63,41,6,,49,983,50.670103092784,8,10,11,270,231,,338,3729.66,4,14,797,1698,34,5546,60,72,8459,0,7291,7,3,3,5,4339,3,5,25,94,457,463,131,321,321,136,142,166,173,159,159,180,483,489,657,1183,641,3123,4500,1940,1075,7198,6686,13884,15750,,63,73,1
1. FC Köln,2671,current_season,97464,2,2026-09-04T08:44:15+00:00,7,29.166666666667,119,12,37.5,118,232,69.822485207101,159,193,90.857142857143,277,425,80.523255813953,13,33.333333333333,1,41.0,7.48,2.0,33,4,3,2,2,2,3,5,4,0,36,29,0,6,7,8,29,66.0,8,12,4,49,48.039215686275,0,0,1,1,0.651092,1.9468,2.8352,0,1,1,11,0,1,14,12,2,3,0,-0.0112,3,36,57.142857142857,0,0,0,8,8,10.0,11,100.65,1,1,31,52,1,122,0,0,284,0,208,1,0,0,0,119,0,0,2,2,18,15,4,13,8,5,7,7,7,6,4,4,18,13,17,39,24,102,157,63,32,169,175,344,492,556.0,0,2,0
TSG Hoffenheim,2569,previous_season,77333,2,2026-09-04T08:44:16+00:00,196,28.571428571429,2309,601,44.717261904762,6478,4525,72.86019570352,6495,5456,90.547887913007,12973,9981,80.758217131474,680,53.333333333333,45,55.235294117647,6.8280392156863,,1746,96,83,72,56,54,49,115,111,7,1040,1154,5,197,163,132,603,,413,503,234,1683,48.81090487239,6,6,13,17,,,,6,47,52,474,2,15,291,213,52,52,9,,65,1003,46.157386102163,13,17,8,273,332,,299,3636.76,6,14,901,2163,34,5952,59,63,6705,0,6300,7,6,6,5,4899,3,4,34,97,480,416,111,330,284,150,132,189,154,176,151,193,527,499,738,1275,686,3448,3571,2173,1344,8891,7173,16064,13005,,72,55,1
TSG Hoffenheim,2569,current_season,97464,2,2026-09-04T08:44:18+00:00,8,27.586206896552,66,23,62.162162162162,232,118,81.69014084507,193,159,92.788461538462,425,277,86.382113821138,26,66.666666666667,2,59.0,7.31,2.0,35,3,4,2,2,3,2,4,5,0,29,36,0,7,6,7,24,55.0,12,8,4,53,51.960784313725,0,0,1,1,1.23686,1.8829,1.9888,0,1,1,14,0,0,11,8,3,1,1,-0.1648,2,27,42.857142857143,1,0,0,8,8,11.0,10,104.09,2,1,26,62,1,111,0,0,169,0,175,0,1,0,0,127,0,0,0,3,15,18,5,8,13,7,5,7,7,4,6,4,13,18,21,39,29,102,99,63,37,284,208,492,344,698.0,2,0,0
1. FC Union Berlin,2547,previous_season,77333,2,2026-09-04T08:44:19+00:00,200,29.498525073746,3038,615,40.755467196819,3895,7124,60.983247220917,4353,7554,87.392089941779,8248,14678,72.554539057002,782,51.925630810093,28,40.235294117647,6.7378071833648,,1593,74,92,47,73,46,61,106,113,7,1079,1156,4,170,164,143,630,,363,457,228,1753,48.898186889819,5,8,14,19,,,,6,34,39,417,0,11,326,269,58,37,7,,44,971,46.705146705147,9,11,14,289,220,,321,3380.26,6,10,770,1868,34,4834,55,45,9326,1,8320,6,5,3,6,4912,3,4,24,93,424,440,114,308,287,116,153,185,177,133,150,154,502,496,699,1506,678,3585,4480,2079,1509,6387,4981,11368,17646,,70,63,0
1. FC Union Berlin,2547,current_season,97464,2,2026-09-04T08:44:21+00:00,10,37.037037037037,84,14,29.166666666667,113,154,57.360406091371,132,145,80.487804878049,245,299,67.86703601108,22,43.137254901961,3,49.0,7.11,2.0,48,3,4,3,2,1,1,6,5,0,41,50,0,5,2,3,16,76.0,8,20,10,51,45.132743362832,2,0,1,0,1.09828,1.84,3.4649,0,2,2,11,0,0,8,7,3,3,0,-1.2482,3,29,46.774193548387,2,0,0,12,10,17.0,8,105.27,0,0,27,65,1,82,2,2,225,0,168,0,0,0,0,185,0,0,1,0,19,12,5,15,7,4,5,3,4,10,3,2,19,13,35,51,27,113,126,62,48,197,164,361,393,590.0,2,4,0
Eintracht Frankfurt,2674,previous_season,77333,2,2026-09-04T08:44:22+00:00,117,22.718446601942,2619,578,48.28738512949,6653,5471,77.270615563298,7584,5869,91.066282420749,14237,11340,84.053607273586,443,45.020325203252,42,54.970588235294,6.7660984848485,,1539,86,100,64,81,50,58,117,96,7,875,942,2,159,155,152,590,,504,478,216,1531,48.053986189579,12,7,21,14,,,,5,28,32,352,0,10,316,257,65,57,4,,61,1088,49.409627611262,7,12,16,317,282,,316,3626.67,7,21,769,1659,34,5363,44,85,7422,1,6506,3,6,6,3,4396,4,2,33,100,409,427,96,275,299,134,128,135,165,157,166,243,532,566,680,984,515,3186,3881,2202,1197,8610,8328,16938,13928,,58,67,4
