team,team_id,season_id,shirt_number,player_name,player_id,position,age,nationalities,contract_until,market_value,market_value_eur,player_url,team_market_value_percentile_threshold_eur,market_value_percentile_within_team
1. FC Köln,3,2026,13,Said El Mala,1168219,Left Winger,19,Germany,30/06/2030,€45.00m,45000000,https://www.transfermarkt.com/said-el-mala/profil/spieler/1168219,5800000.0,100.0
1. FC Köln,3,2026,22,Jahmai Simpson-Pusey,942497,Centre-Back,20,England,30/06/2030,€9.00m,9000000,https://www.transfermarkt.com/jahmai-simpson-pusey/profil/spieler/942497,5800000.0,94.0
1. FC Köln,3,2026,9,Ragnar Ache,416380,Centre-Forward,28,Germany|Ghana,30/06/2029,€9.00m,9000000,https://www.transfermarkt.com/ragnar-ache/profil/spieler/416380,5800000.0,94.0
1. FC Köln,3,2026,8,Ísak Jóhannesson,579565,Central Midfield,23,Iceland|England,30/06/2030,€8.00m,8000000,https://www.transfermarkt.com/isak-johannesson/profil/spieler/579565,5800000.0,88.0
1. FC Köln,3,2026,33,Rav van den Berg,640556,Centre-Back,22,Netherlands,30/06/2030,€7.00m,7000000,https://www.transfermarkt.com/rav-van-den-berg/profil/spieler/640556,5800000.0,84.0
Bayer Leverkusen,15,2026,30,Ibrahim Maza,905011,Attacking Midfield,20,Algeria|Germany,30/06/2030,€45.00m,45000000,https://www.transfermarkt.com/ibrahim-maza/profil/spieler/905011,25000000.0,98.33
Bayer Leverkusen,15,2026,4,Jarell Quansah,632349,Centre-Back,23,England|Scotland,30/06/2030,€45.00m,45000000,https://www.transfermarkt.com/jarell-quansah/profil/spieler/632349,25000000.0,98.33
Bayer Leverkusen,15,2026,35,Christian Kofane,1364454,Centre-Forward,20,Cameroon,30/06/2029,€40.00m,40000000,https://www.transfermarkt.com/christian-kofane/profil/spieler/1364454,25000000.0,93.33
Bayer Leverkusen,15,2026,12,Edmond Tapsoba,564545,Centre-Back,27,Burkina Faso,30/06/2031,€35.00m,35000000,https://www.transfermarkt.com/edmond-tapsoba/profil/spieler/564545,25000000.0,90.0
Bayer Leverkusen,15,2026,10,Malik Tillman,467437,Attacking Midfield,24,United States|Germany,30/06/2030,€30.00m,30000000,https://www.transfermarkt.com/malik-tillman/profil/spieler/467437,25000000.0,86.67
